annee;departement;amm;quantite_produit;conditionnement;eaj
2017;AIN;1030003;214.7;L;Oui
2017;AIN;2000003;7233.8;L;Non
2017;AIN;2000017;16.1;L;Oui
2017;AIN;2000018;22560.0;K;Non
2017;AIN;2000044;1528.0;L;Non
2017;AIN;2000071;3027.8999999999996;K;Oui
2017;AIN;2000087;64.0;K;Non
2017;AIN;2000122;9.7;L;Non
2017;AIN;2000125;1406.8;K;Oui
2017;AIN;2000201;117.2;L;Non
2017;AIN;2000205;13.6;K;Non
2017;AIN;2000208;0.5;L;Non
2017;AIN;2000222;1.2;L;Oui
2017;AIN;2000228;71.0;K;Oui
2017;AIN;2000236;1.0;L;Non
2017;AIN;2000294;240.0;K;Non
2017;AIN;2000299;490.0;L;Non
2017;AIN;2000301;70.0;L;Non
2017;AIN;2000324;52.0;L;Non
2017;AIN;2000327;323.0;L;Non
2017;AIN;2000338;20.0;K;Non
2017;AIN;2000364;1.6;K;Oui
2017;AIN;2000369;79.0;K;Non
2017;AIN;2000380;33.0;L;Non
2017;AIN;2000390;827.2;K;Oui
2017;AIN;2000461;3805.0;L;Non
2017;AIN;2000500;12.0;L;Oui
2017;AIN;2000502;2.5;L;Non
2017;AIN;2000510;8449.0;K;Oui
2017;AIN;2000517;770.4;L;Non
2017;AIN;2010013;1.6;K;Oui
2017;AIN;2010019;349.0;L;Non
2017;AIN;2010023;960.0;L;Non
2017;AIN;2010025;705.0;L;Non
2017;AIN;2010030;770.0;L;Non
2017;AIN;2010035;3063.0;L;Oui
2017;AIN;2010047;70.0;L;Non
2017;AIN;2010100;20.0;L;Oui
2017;AIN;2010118;1296.0;K;Oui
2017;AIN;2010130;1160.0;K;Non
2017;AIN;2010132;73.0;K;Non
2017;AIN;2010139;14.7;L;Non
2017;AIN;2010239;4320.0;L;Non
2017;AIN;2010240;120.0;L;Non
2017;AIN;2010280;2133.6;L;Non
2017;AIN;2010282;1112.0;L;Non
2017;AIN;2010288;8.0;K;Non
2017;AIN;2010290;6.4;L;Oui
2017;AIN;2010310;75.0;L;Non
2017;AIN;2010315;7.6;K;Non
2017;AIN;2010319;390.0;L;Oui
2017;AIN;2010321;15.3;L;Oui
2017;AIN;2010335;17.8;L;Oui
2017;AIN;2010351;810.0;K;Non
2017;AIN;2010398;96.0;K;Non
2017;AIN;2010410;353.4;K;Oui
2017;AIN;2010415;31865.0;L;Non
2017;AIN;2010419;565.2;K;Non
2017;AIN;2010425;16.3;K;Non
2017;AIN;2010427;40.0;L;Non
2017;AIN;2010439;133.0;L;Oui
2017;AIN;2010441;1140.0;L;Non
2017;AIN;2010493;439.2;K;Oui
2017;AIN;2010495;1935.0;K;Non
2017;AIN;2010509;882.6;K;Oui
2017;AIN;2010512;4.4;L;Oui
2017;AIN;2010513;1815.5;K;Non
2017;AIN;2010525;1.0;K;Non
2017;AIN;2010530;1.6;L;Oui
2017;AIN;2010531;7890.0;L;Non
2017;AIN;2010537;2.0;K;Non
2017;AIN;2010552;2.0;K;Non
2017;AIN;2010584;15.0;L;Non
2017;AIN;2010617;40.0;L;Non
2017;AIN;2010618;282.0;K;Oui
2017;AIN;2010640;25.0;K;Non
2017;AIN;2010643;11.0;L;Non
2017;AIN;2020003;1355.4;K;Oui
2017;AIN;2020021;585.0;L;Non
2017;AIN;2020047;30.0;L;Oui
2017;AIN;2020048;20.0;L;Oui
2017;AIN;2020062;15.0;L;Non
2017;AIN;2020065;28.0;K;Oui
2017;AIN;2020069;130.0;L;Non
2017;AIN;2020110;1760.0;K;Non
2017;AIN;2020199;8.0;K;Non
2017;AIN;2020219;36.0;L;Non
2017;AIN;2020226;268.0;L;Non
2017;AIN;2020233;7100.0;K;Non
2017;AIN;2020246;14.0;L;Non
