annee;departement;amm;quantite_produit;conditionnement;eaj
2009;AIN;1030003;28.0;L;Oui
2009;AIN;2000017;616.4;L;Oui
2009;AIN;2000018;60.0;K;Non
2009;AIN;2000044;604.0;L;Non
2009;AIN;2000045;205.6;L;Non
2009;AIN;2000051;46.0;L;Non
2009;AIN;2000071;14778.3;K;Oui
2009;AIN;2000079;565.0;L;Non
2009;AIN;2000080;3970.0;L;Oui
2009;AIN;2000085;40.0;L;Non
2009;AIN;2000105;10.6;K;Oui
2009;AIN;2000121;7870.0;K;Non
2009;AIN;2000125;1684.7;K;Oui
2009;AIN;2000150;2.5;L;Oui
2009;AIN;2000195;300.0;K;Non
2009;AIN;2000201;25.0;L;Non
2009;AIN;2000205;6.6;K;Non
2009;AIN;2000207;25.0;L;Non
2009;AIN;2000216;730.0;L;Non
2009;AIN;2000222;58.5;L;Oui
2009;AIN;2000228;190.8;K;Oui
2009;AIN;2000299;14.0;L;Non
2009;AIN;2000301;970.0;L;Non
2009;AIN;2000305;7935.0;L;Non
2009;AIN;2000306;30.0;L;Non
2009;AIN;2000316;6.0;L;Non
2009;AIN;2000324;15.0;L;Non
2009;AIN;2000327;302.0;L;Non
2009;AIN;2000331;165.0;L;Non
2009;AIN;2000333;20.0;L;Non
2009;AIN;2000335;105.0;L;Non
2009;AIN;2000336;492.0;K;Non
2009;AIN;2000341;1590.0;K;Non
2009;AIN;2000359;7.4;K;Non
2009;AIN;2000362;418.6;K;Oui
2009;AIN;2000364;106.8;K;Oui
2009;AIN;2000365;46.0;L;Oui
2009;AIN;2000366;153.8;L;Oui
2009;AIN;2000388;100.0;L;Non
2009;AIN;2000390;3560.0;K;Oui
2009;AIN;2000402;80.0;L;Non
2009;AIN;2000405;6.0;L;Non
2009;AIN;2000412;24.0;K;Oui
2009;AIN;2000415;1620.0;L;Non
2009;AIN;2000427;27.0;K;Non
2009;AIN;2000449;500.0;L;Non
2009;AIN;2000466;13.700000000000001;L;Oui
2009;AIN;2000499;109.0;L;Oui
2009;AIN;2000500;522.5;L;Oui
2009;AIN;2000502;340.0;L;Non
2009;AIN;2000509;115.0;L;Non
2009;AIN;2000510;2079.0;K;Oui
2009;AIN;2000517;111.60000000000001;L;Oui
2009;AIN;2000536;16.0;K;Non
2009;AIN;2000538;1.2000000000000002;L;Oui
2009;AIN;2010001;6.0;K;Non
2009;AIN;2010009;875.0;K;Oui
2009;AIN;2010019;785.0;L;Non
2009;AIN;2010023;1685.6;L;Non
2009;AIN;2010030;1240.0;L;Non
