annee;n_dep;n_decl;surface;s_aop;s_gnac;s_igp;s_vsig;q_aop_b;q_aop_rg;q_aop_rs;q_vsi-vci;q_igp_b;q_igp_rg;q_igp_rs;q_vsig_b;q_vsig_rg;q_vsig_rs;q_gnac;qq_c;qq_nc;qq_total
2018;01 AIN;190;735;519;;36;180;13 672;3 907;13 851;0;1 446;140;153;5 039;2 138;6 551;0;46 897;368;47 265
2018;02 AISNE;832;2 491;2 486;;;5;204 785;0;0;0;0;0;0;411;0;0;0;205 196;41 812;247 008
2018;03 ALLIER;64;598;546;;22;31;8 143;15 803;3 289;0;811;336;24;604;304;336;0;29 651;1 203;30 854
2018;04 ALPES DE HAUTES-PROVENCE;60;695;255;;387;53;1 472;3 138;6 705;0;2 921;5 297;14 792;398;711;1 807;0;37 239;1 103;38 342
2018;05 HAUTES-ALPES;64;112;;;109;3;0;0;0;0;1 474;2 167;1 351;73;23;3;0;5 090;387;5 477
2018;06 ALPES-MARITIMES;18;78;51;;27;0;407;378;178;0;196;587;159;0;2;0;0;1 907;28;1 934
2018;07 ARDECHE;1493;10 232;2 748;;7 000;483;10 340;93 958;7 100;1 903;91 248;156 488;165 502;14 078;9 983;1 115;0;551 715;10 946;562 660
2018;09 ARIEGE;14;64;;;61;4;0;0;0;0;99;741;254;5;42;0;0;1 141;35;1 176
2018;10 AUBE;2572;7 166;7 166;;;0;613 629;0;0;0;0;0;0;4;0;0;0;613 633;114 289;727 922
2018;11 AUDE;5112;64 220;19 491;;41 444;3 284;103 732;554 957;123 751;0;580 588;1 577 968;316 115;48 691;172 410;20 678;0;3 498 889;60 448;3 559 336
2018;12 AVEYRON;111;401;309;;54;37;385;9 274;1 984;0;342;964;148;70;581;159;0;13 907;399;14 306
2018;13 BOUCHES-DU-RHONE;1041;10 595;6 944;;3 448;203;21 724;29 412;299 912;62;18 350;48 383;216 591;1 907;4 497;5 108;0;645 945;29 682;675 627
2018;14 CALVADOS;1;7;;;7;0;0;0;0;0;104;112;0;4;0;0;0;219;5;224
2018;15 CANTAL;5;9;2;;7;0;19;50;19;0;83;121;7;5;0;0;0;303;6;309
2018;16 CHARENTE;1846;39 986;109;39 046;395;436;2 698;0;2 497;0;5 074;14 137;1 327;16 459;11 621;661;5 038 705;5 093 180;5 325;5 098 505
2018;17 CHARENTE-MARITIME;2353;39 784;849;36 926;1 200;809;21 035;352;28 148;0;28 654;48 275;8 294;57 680;22 310;1 281;4 609 329;4 825 358;9 501;4 834 859
2018;18 CHER;448;4 285;4 206;;53;26;211 766;33 590;17 172;3 278;2 083;787;522;531;451;521;0;270 700;3 802;274 502
2018;19 CORREZE;41;74;24;;44;6;401;345;0;0;259;1 046;503;9;135;65;0;2 763;4;2 768
2018;21 COTE-D'OR;1368;9 520;9 439;;27;54;209 966;281 454;2 365;1 333;704;585;92;1 321;995;82;0;498 896;15 143;514 039
2018;23 CREUSE;1;1;;;;1;0;0;0;0;0;0;0;5;8;0;0;13;0;13
2018;24 DORDOGNE;665;11 110;10 239;20;414;437;188 955;219 163;53 937;12 008;7 513;17 074;5 912;11 522;10 295;4 453;2 151;532 981;17 205;550 186
2018;25 DOUBS;8;16;;;11;5;0;0;0;0;322;72;20;184;35;7;0;640;19;659
2018;26 DROME;1529;15 914;13 635;;2 035;245;124 862;404 240;41 924;6 393;16 934;57 546;35 956;1 691;3 598;520;0;693 664;16 813;710 477
2018;2A CORSE-DU-SUD;46;905;707;;92;106;4 662;11 912;7 894;0;1 149;2 997;2 931;972;1 651;1 725;0;35 892;935;36 827
2018;2B HAUTE-CORSE;239;4 979;2 092;;2 674;213;13 733;16 273;53 290;0;26 045;33 097;170 238;9 151;2 991;6 452;0;331 269;6 552;337 822
2018;30 GARD;3684;52 994;19 361;;30 976;2 657;60 880;638 187;168 192;9 966;377 762;893 082;832 780;36 938;140 199;77 806;0;3 235 791;84 497;3 320 289
2018;31 HAUTE-GARONNE;96;1 324;756;;518;49;0;19 804;13 586;0;537;10 947;19 592;214;1 574;487;0;66 742;1 891;68 633
2018;32 GERS;998;18 953;1 723;1 588;11 739;3 904;20 151;57 432;15 565;0;902 364;66 166;106 562;552 495;7 251;23 065;157 064;1 908 113;23 196;1 931 310
2018;33 GIRONDE;6110;114 615;112 633;;255;1 727;584 106;4 233 420;224 209;220 986;5 942;10 216;5 996;25 578;59 935;30 036;0;5 400 424;133 552;5 533 976
2018;34 HERAULT;8100;80 690;16 804;;58 733;5 154;150 283;324 034;146 330;0;1 009 248;1 746 348;1 092 079;97 970;280 042;81 800;0;4 928 133;131 393;5 059 527
2018;36 INDRE;60;535;343;;84;108;12 181;5 263;3 376;401;4 023;2 129;514;1 916;3 193;1 981;0;34 978;515;35 493
2018;37 INDRE-ET-LOIRE;725;9 687;8 967;;119;601;198 477;240 822;38 131;25 133;3 277;3 028;1 565;19 209;10 247;24 491;0;564 380;16 065;580 445
2018;38 ISERE;101;285;155;;85;44;7 961;757;126;128;1 543;2 130;158;1 762;491;278;0;15 335;624;15 959
2018;39 JURA;425;2 051;1 976;;12;63;96 578;23 025;4 011;0;566;167;0;1 803;1 345;117;0;127 613;3 942;131 555
2018;40 LANDES;227;1 604;298;339;653;314;1 815;5 534;4 657;0;33 368;4 899;7 190;36 164;521;1 110;32 996;128 255;3 109;131 363
2018;41 LOIR-ET-CHER;409;6 527;4 844;;730;953;184 512;58 031;41 223;8 162;38 286;11 532;5 577;31 997;13 685;22 001;0;415 005;7 722;422 727
2018;42 LOIRE;175;948;628;;233;87;7 345;19 308;1 301;0;5 597;4 465;2 428;1 928;1 549;1 039;0;44 961;662;45 623
2018;43 HAUTE-LOIRE;4;2;;;;2;0;0;0;0;0;0;0;9;11;12;0;31;0;31
2018;44 LOIRE-ATLANTIQUE;501;10 815;7 482;;1 470;1 862;421 115;1 665;1 712;35 628;73 575;19 836;26 407;162 627;17 260;59 332;0;819 157;18 338;837 495
2018;45 LOIRET;16;116;99;;2;15;1 837;2 026;475;0;51;94;0;94;420;50;0;5 047;106;5 153
2018;46 LOT;337;4 847;3 375;;1 178;294;0;159 701;1 622;4 091;4 922;68 191;19 654;739;15 489;2 510;0;276 918;6 674;283 593
2018;47 LOT-ET-GARONNE;512;5 924;4 357;34;917;616;30 638;139 869;49 793;4 678;50 764;21 044;11 421;35 312;13 741;7 563;3 389;368 213;7 114;375 327
2018;48 LOZERE;4;10;;;9;1;0;0;0;0;73;128;36;11;3;0;0;251;12;264
2018;49 MAINE-ET-LOIRE;964;19 459;17 266;;1 010;1 183;336 018;168 573;496 118;29 630;53 419;13 673;11 508;45 207;17 008;48 660;0;1 219 814;51 520;1 271 333
2018;51 MARNE;12466;23 824;23 824;;;;1 829 049;0;0;0;0;0;0;0;0;0;0;1 829 049;640 916;2 469 965
2018;52 HAUTE-MARNE;26;90;48;;30;13;3 931;0;0;0;874;883;172;792;69;50;0;6 770;1 441;8 211
2018;53 MAYENNE;1;1;;;;1;0;0;0;0;0;0;0;34;0;9;0;43;0;43
2018;54 MEURTHE-ET-MOSELLE;28;109;78;;;31;1 090;767;2 354;0;0;0;0;874;132;1 137;0;6 353;148;6 501
2018;55 MEUSE;7;41;;;29;12;0;0;0;0;922;405;434;813;163;254;0;2 991;63;3 054
2018;57 MOSELLE;28;96;51;;;45;1 062;656;163;0;0;0;0;1 751;166;180;0;3 978;37;4 015
2018;58 NIEVRE;159;1 532;1 419;;101;12;85 341;2 148;773;0;3 580;1 334;572;196;216;105;0;94 265;1 728;95 992
2018;62 PAS-DE-CALAIS;1;0;;;;0;0;0;0;0;0;0;0;7;0;0;0;7;0;8
2018;63 PUY-DE-DOME;132;405;278;;72;55;1 939;8 881;2 108;0;693;2 439;439;363;1 207;397;0;18 465;261;18 726
2018;64 PYRENEES-ATLANTIQUES;505;2 499;2 374;;46;79;59 697;30 528;4 923;0;686;1 172;58;735;1 401;562;0;99 762;1 120;100 882
2018;65 HAUTES-PYRENEES;44;237;206;;21;10;1 398;7 061;202;0;549;401;288;4;93;0;0;9 996;169;10 165
2018;66 PYRENEES-ORIENTALES;2419;21 084;14 440;;5 696;948;89 375;205 710;126 330;0;79 357;113 684;85 512;7 787;11 697;6 373;0;725 824;18 410;744 234
2018;67 BAS-RHIN;1670;6 719;6 705;;;14;492 663;4 242;26 102;12 319;0;0;0;1 033;64;101;0;536 523;37 335;573 858
2018;68 HAUT-RHIN;2147;8 994;8 978;;;16;636 523;7 365;37 949;15 370;0;0;0;1 335;32;94;0;698 667;50 730;749 397
2018;69 RHONE;2267;16 042;15 539;;130;373;127 418;729 246;23 486;2 454;2 074;3 480;1 190;4 659;17 514;7 250;0;918 770;67 393;986 163
2018;70 HAUTE-SAONE;9;86;;;76;10;0;0;0;0;2 191;1 611;182;279;512;0;0;4 774;32;4 805
2018;71 SAONE-ET-LOIRE;1754;13 015;12 911;;22;82;571 051;220 073;4 642;25 964;299;293;74;3 087;671;714;0;826 867;46 546;873 413
2018;72 SARTHE;34;189;147;;9;34;4 147;1 360;634;0;67;297;104;524;537;262;0;7 932;260;8 193
2018;73 SAVOIE;329;1 945;1 726;;96;123;75 449;26 415;7 039;2 922;4 804;1 288;414;5 948;1 226;1 155;0;126 659;6 761;133 420
2018;74 HAUTE-SAVOIE;66;234;147;;11;75;5 313;709;180;0;541;60;26;3 409;2 149;27;0;12 413;35;12 448
2018;77 SEINE-ET-MARNE;10;30;30;;;;2 632;0;0;0;0;0;0;0;0;0;0;2 632;452;3 084
2018;79 DEUX-SEVRES;48;763;696;;39;28;12 643;2 023;28 433;2 002;2 475;383;527;1 210;315;532;0;50 543;1 977;52 520
2018;81 TARN;423;6 489;2 828;;2 854;807;34 744;82 241;22 911;0;55 323;122 989;54 071;17 830;30 399;15 333;0;435 840;8 990;444 830
2018;82 TARN-ET-GARONNE;189;1 480;697;;608;176;0;21 010;12 908;0;2 071;21 090;20 335;558;6 173;3 179;0;87 324;2 378;89 702
2018;83 VAR;3159;27 835;22 044;;5 458;333;38 559;55 590;869 661;419;20 073;37 545;188 589;1 377;3 241;8 769;0;1 223 822;52 607;1 276 429
2018;84 VAUCLUSE;3673;45 905;35 728;;9 052;1 124;87 689;966 732;217 255;12 303;60 290;151 111;278 932;8 496;21 326;6 845;0;1 810 979;47 941;1 858 920
2018;85 VENDEE;44;924;526;;296;102;10 720;8 787;9 136;0;6 543;5 967;7 048;3 101;1 326;3 157;0;55 784;1 797;57 581
2018;86 VIENNE;127;1 110;547;;420;142;20 066;4 046;11 335;125;19 981;4 809;4 877;3 069;1 726;1 560;0;71 594;834;72 428
2018;87 HAUTE-VIENNE;2;6;;;6;1;0;0;0;0;34;52;128;13;1;0;0;228;13;241
2018;88 VOSGES;36;5;;;;5;0;0;0;0;0;0;0;0;292;0;0;292;0;292
2018;89 YONNE;810;7 763;7 712;;17;34;429 154;38 606;3 927;55 073;834;125;26;1 015;720;349;0;529 830;58 694;588 524
2018;95 VAL-D?OISE;1;0;;;;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
