annee;departement;amm;quantite_produit;conditionnement;eaj
2011;AIN;1030003;46.8;L;Oui
2011;AIN;2000003;1455.0;L;Non
2011;AIN;2000017;1214.2;L;Oui
2011;AIN;2000018;100.0;K;Non
2011;AIN;2000044;490.0;L;Non
2011;AIN;2000045;111.6;L;Non
2011;AIN;2000051;141.0;L;Non
2011;AIN;2000071;21473.4;K;Oui
2011;AIN;2000079;45.0;L;Non
2011;AIN;2000080;4370.0;L;Oui
2011;AIN;2000085;20.0;L;Non
2011;AIN;2000105;8.2;K;Oui
2011;AIN;2000121;4580.0;K;Non
2011;AIN;2000125;1875.5;K;Oui
2011;AIN;2000128;164.7;K;Oui
2011;AIN;2000190;6.6;L;Non
2011;AIN;2000195;140.0;K;Non
2011;AIN;2000201;25.0;L;Non
2011;AIN;2000202;20.0;L;Non
2011;AIN;2000205;12.0;K;Non
2011;AIN;2000207;190.0;L;Non
2011;AIN;2000216;322.0;L;Non
2011;AIN;2000222;112.8;L;Oui
2011;AIN;2000228;66.0;K;Oui
2011;AIN;2000294;428.0;K;Non
2011;AIN;2000299;7.0;L;Non
2011;AIN;2000301;160.0;L;Non
2011;AIN;2000305;6480.0;L;Non
2011;AIN;2000306;30.0;L;Non
2011;AIN;2000307;20.0;L;Non
2011;AIN;2000327;236.0;L;Non
2011;AIN;2000335;105.0;L;Non
2011;AIN;2000336;324.0;K;Non
2011;AIN;2000341;810.0;K;Non
2011;AIN;2000359;1.3;K;Non
2011;AIN;2000362;432.1;K;Oui
2011;AIN;2000364;122.8;K;Oui
2011;AIN;2000365;76.9;L;Oui
2011;AIN;2000366;266.6;L;Oui
2011;AIN;2000388;25.0;L;Non
2011;AIN;2000390;4809.2;K;Oui
2011;AIN;2000402;460.0;L;Non
2011;AIN;2000405;128.0;L;Non
2011;AIN;2000415;1710.0;L;Non
2011;AIN;2000449;90.0;L;Non
2011;AIN;2000466;4.5;L;Oui
2011;AIN;2000499;159.0;L;Oui
2011;AIN;2000500;1508.0;L;Oui
2011;AIN;2000502;424.5;L;Non
2011;AIN;2000509;750.0;L;Non
2011;AIN;2000510;5488.0;K;Oui
2011;AIN;2000517;259.8;L;Oui
2011;AIN;2000520;5.9;L;Non
2011;AIN;2000536;120.0;K;Non
2011;AIN;2000538;0.5;L;Oui
2011;AIN;2000546;186.0;L;Non
2011;AIN;2010009;375.0;K;Oui
2011;AIN;2010019;233.0;L;Non
2011;AIN;2010023;592.0;L;Non
2011;AIN;2010030;2810.0;L;Non
2011;AIN;2010035;976.8000000000001;L;Oui
2011;AIN;2010047;310.0;L;Non
2011;AIN;2010118;2812.0;K;Oui
2011;AIN;2010121;386.0;K;Oui
2011;AIN;2010130;620.0;K;Non
2011;AIN;2010132;54.2;K;Non
2011;AIN;2010139;28.3;L;Oui
2011;AIN;2010142;60.0;K;Oui
2011;AIN;2010143;2.0;L;Oui
2011;AIN;2010157;944.0999999999999;K;Oui
2011;AIN;2010239;4030.0;L;Non
2011;AIN;2010240;980.0;L;Non
2011;AIN;2010262;19890.0;L;Non
2011;AIN;2010273;480.0;K;Non
2011;AIN;2010280;1440.0;L;Non
2011;AIN;2010282;2641.0;L;Non
2011;AIN;2010283;4210.0;L;Non
2011;AIN;2010284;82.8;L;Oui
2011;AIN;2010288;18.2;K;Non
2011;AIN;2010299;4695.299999999999;K;Oui
2011;AIN;2010310;187.0;L;Non
2011;AIN;2010311;6.0;L;Non
2011;AIN;2010315;3.6;K;Non
2011;AIN;2010319;859.8000000000001;L;Oui
2011;AIN;2010321;6066.1;L;Oui
2011;AIN;2010326;265.0;L;Non
2011;AIN;2010328;0.9;K;Non
2011;AIN;2010332;11.0;L;Non
2011;AIN;2010335;82.8;L;Oui
2011;AIN;2010349;30.0;L;Non
2011;AIN;2010351;3137.3999999999996;K;Non
2011;AIN;2010374;17.0;K;Non
2011;AIN;2010398;544.0;K;Non
2011;AIN;2010410;175.9;K;Oui
2011;AIN;2010415;11440.0;L;Non
2011;AIN;2010419;3570.0;K;Non
2011;AIN;2010425;157.9;K;Non
2011;AIN;2010438;24.0;L;Oui
2011;AIN;2010439;190.0;L;Oui
2011;AIN;2010441;80.0;L;Non
2011;AIN;2010480;300.0;K;Non
2011;AIN;2010482;35.0;L;Non
2011;AIN;2010493;379.3;K;Oui
2011;AIN;2010495;15.0;K;Non
2011;AIN;2010499;5.0;L;Non
2011;AIN;2010502;183.0;L;Non
2011;AIN;2010509;1048.0;K;Oui
2011;AIN;2010512;129.7;L;Oui
2011;AIN;2010516;10.0;L;Non
2011;AIN;2010520;16.0;K;Oui
2011;AIN;2010523;1125.0;L;Non
2011;AIN;2010525;48.0;K;Non
2011;AIN;2010527;1.0;L;Non
2011;AIN;2010530;428.0;L;Oui
2011;AIN;2010531;7640.0;L;Non
2011;AIN;2010588;150.0;L;Non
2011;AIN;2010604;43.0;K;Oui
2011;AIN;2010612;17200.0;L;Oui
2011;AIN;2010617;1630.0;L;Non
2011;AIN;2010618;448.7;K;Oui
2011;AIN;2010628;86.3;K;Non
2011;AIN;2010632;20.0;K;Non
2011;AIN;2010637;17.6;L;Oui
2011;AIN;2020001;192.0;K;Oui
2011;AIN;2020003;1654.8;K;Oui
2011;AIN;2020013;25.0;L;Non
2011;AIN;2020020;55.8;L;Oui
2011;AIN;2020027;125.7;K;Oui
2011;AIN;2020047;135.0;L;Non
2011;AIN;2020048;215.0;L;Oui
2011;AIN;2020062;435.0;L;Non
2011;AIN;2020064;25.0;L;Non
2011;AIN;2020065;53.2;K;Oui
2011;AIN;2020069;482.0;L;Non
2011;AIN;2020099;111.7;L;Non
2011;AIN;2020110;1960.0;K;Non
2011;AIN;2020216;1740.0;L;Non
2011;AIN;2020219;15.0;L;Non
2011;AIN;2020221;315.0;L;Non
2011;AIN;2020264;10.0;L;Non
2011;AIN;2020267;4.0;K;Non
2011;AIN;2020293;140.0;L;Non
2011;AIN;2020294;1115.0;L;Non
2011;AIN;2020295;620.0;L;Non
2011;AIN;2020297;2.0;L;Oui
2011;AIN;2020298;8.2;L;Oui
2011;AIN;2020301;73.3;L;Oui
2011;AIN;2020304;4.1;L;Oui
2011;AIN;2020318;1263.9;L;Oui
2011;AIN;2020328;1425.0;L;Non
2011;AIN;2020339;450.0;L;Non
2011;AIN;2020344;3340.0;K;Non
2011;AIN;2020345;16.0;L;Non
2011;AIN;2020346;963.0;L;Non
2011;AIN;2020348;235.0;L;Non
2011;AIN;2020355;0.1;L;Oui
2011;AIN;2020365;100.0;L;Oui
2011;AIN;2020378;566.8;K;Non
2011;AIN;2020439;465.0;K;Non
2011;AIN;2020448;2804.7;L;Oui
2011;AIN;2020456;2750.0;L;Non
2011;AIN;2020474;125.0;L;Non
2011;AIN;2020476;560.0;L;Non
2011;AIN;2030011;5.0;L;Non
2011;AIN;2030050;178.0;L;Oui
2011;AIN;2030113;42.0;L;Oui
2011;AIN;2030125;1758.5;L;Oui
2011;AIN;2030173;10.0;L;Oui
2011;AIN;2030174;4.7;K;Non
2011;AIN;2030184;2.9;K;Oui
2011;AIN;2030273;372.0;L;Oui
2011;AIN;2030286;320.7;L;Oui
2011;AIN;2030289;48.0;L;Oui
2011;AIN;2030290;3580.0;L;Non
2011;AIN;2030321;115.4;L;Oui
2011;AIN;2030323;903.0;L;Non
2011;AIN;2030404;300.0;L;Non
2011;AIN;2030457;10.0;K;Non
2011;AIN;2030466;311.8;K;Oui
2011;AIN;2040080;600.0;K;Oui
2011;AIN;2040085;117.0;L;Oui
2011;AIN;2040109;257.0;K;Non
2011;AIN;2040141;21.6;L;Oui
2011;AIN;2040193;393.6;L;Non
2011;AIN;2040194;220.0;L;Non
2011;AIN;2040195;6.0;L;Non
2011;AIN;2040198;111.0;L;Non
2011;AIN;2040199;1.0;K;Non
2011;AIN;2040201;50.0;L;Non
2011;AIN;2040321;426.2;K;Non
2011;AIN;2040322;482.7;L;Non
2011;AIN;2040323;42.0;L;Non
2011;AIN;2040330;2380.0;K;Oui
2011;AIN;2040338;201.0;L;Non
2011;AIN;2040348;518.5;K;Non
2011;AIN;2040349;99.0;K;Oui
2011;AIN;2050046;4.0;K;Non
2011;AIN;2050050;1455.6;L;Oui
2011;AIN;2050074;28.0;L;Non
2011;AIN;2050075;1468.7;K;Non
2011;AIN;2050076;186.0;K;Non
2011;AIN;2050077;370.20000000000005;K;Oui
2011;AIN;2050115;15.0;L;Non
2011;AIN;2050134;144.0;K;Non
2011;AIN;2050135;3612.0;K;Non
