annee;n_dep;n_decl;surface;s_aop;s_gnac;s_igp;s_vsig;q_aop_b;q_aop_rg;q_aop_rs;q_vsi-vci;q_igp_b;q_igp_rg;q_igp_rs;q_vsig_b;q_vsig_rg;q_vsig_rs;q_gnac;qq_c;qq_nc;qq_total
2017;01 AIN;284;750;537;0;21;192;9 458;2 495;8 143;0;595;132;66;3 676;1 639;3 225;0;29 429;186;29 615
2017;02 AISNE;818;2 524;2 519;0;0;4;151 066;0;0;0;0;0;0;159;0;0;0;151 224;1 342;152 566
2017;03 ALLIER;109;610;558;0;7;45;3 591;8 033;2 185;0;0;112;0;199;247;417;0;14 784;282;15 066
2017;04 ALPES DE HAUTES-PROVENCE;72;701;294;0;357;50;1 251;3 386;7 209;0;2 560;4 380;9 772;292;1 135;2 134;0;32 119;934;33 053
2017;05 HAUTES-ALPES;94;115;0;0;105;9;0;0;0;0;384;983;597;22;78;1;0;2 063;131;2 195
2017;06 ALPES-MARITIMES;24;84;52;0;31;1;468;378;219;0;176;541;206;15;45;5;0;2 054;40;2 094
2017;07 ARDECHE;1610;10 274;2 690;0;7 089;495;8 965;85 619;6 023;0;56 830;108 482;108 419;8 562;5 726;631;0;389 258;7 347;396 604
2017;09 ARIEGE;25;67;0;0;60;7;0;0;0;0;131;753;307;9;118;2;0;1 320;30;1 350
2017;10 AUBE;2605;7 172;7 165;0;0;7;485 248;0;0;0;0;0;0;101;104;500;0;485 953;7 408;493 361
2017;11 AUDE;5282;64 535;19 755;0;41 715;3 065;98 545;543 223;80 656;0;485 284;1 504 185;215 273;28 166;118 910;19 481;0;3 093 722;53 372;3 147 094
2017;12 AVEYRON;132;389;287;0;54;48;133;2 872;993;0;127;191;80;21;281;20;0;4 717;152;4 868
2017;13 BOUCHES-DU-RHONE;1151;11 193;7 622;0;3 390;182;17 690;25 989;262 710;177;13 741;47 545;143 675;1 527;1 342;2 559;0;516 955;18 491;535 445
2017;14 CALVADOS;1;5;0;0;5;0;0;0;0;0;63;53;0;0;0;0;0;117;0;117
2017;15 CANTAL;6;9;2;0;7;0;9;32;10;0;11;29;3;0;9;0;0;102;4;106
2017;16 CHARENTE;2729;39 337;107;38 398;362;469;2 482;0;2 205;0;2 656;9 130;554;3 205;9 308;271;2 989 089;3 018 901;3 317;3 022 218
2017;17 CHARENTE-MARITIME;3719;39 102;924;36 158;1 166;854;25 338;0;29 841;0;24 965;41 512;6 166;34 938;23 371;1 026;3 643 602;3 830 759;9 587;3 840 345
2017;18 CHER;538;4 226;4 148;0;41;37;186 352;27 529;17 424;1 393;551;320;229;291;554;260;0;234 904;1 087;235 991
2017;19 CORREZE;166;94;4;0;63;27;0;0;5;0;69;212;250;2;544;9;0;1 091;10;1 101
2017;21 COTE-D'OR;1451;9 465;9 379;0;30;56;167 416;287 837;2 485;406;207;314;43;1 053;737;99;0;460 597;7 711;468 308
2017;24 DORDOGNE;1062;11 311;10 523;18;305;466;118 571;122 905;37 132;500;3 472;5 366;2 733;3 237;3 623;1 914;575;300 027;6 160;306 187
2017;25 DOUBS;68;26;0;0;11;15;0;0;0;0;239;22;20;174;134;31;0;620;35;654
2017;26 DROME;1590;15 865;13 621;0;2 011;233;64 466;395 109;37 367;0;9 598;40 326;17 821;818;2 692;468;0;568 664;13 762;582 426
2017;28 EURE-ET-LOIR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017;2A CORSE-DU-SUD;47;877;713;0;77;86;4 006;9 991;7 621;0;458;1 294;1 445;390;1 133;381;0;26 718;746;27 464
2017;2B HAUTE-CORSE;229;5 000;2 093;0;2 712;196;12 010;17 151;51 206;0;16 166;29 266;143 708;9 297;1 884;613;0;281 301;6 216;287 517
2017;30 GARD;3915;52 605;19 476;0;30 917;2 212;47 729;565 402;127 154;0;312 325;785 542;575 395;18 717;62 299;20 509;0;2 515 072;68 538;2 583 611
2017;31 HAUTE-GARONNE;166;1 359;771;0;471;117;0;13 506;11 624;0;196;5 510;12 755;164;2 413;382;0;46 550;1 302;47 853
2017;32 GERS;1154;18 477;1 718;1 358;12 062;3 339;19 455;56 250;13 653;0;812 468;70 737;102 647;343 950;7 136;33 557;132 520;1 592 374;69 612;1 661 986
2017;33 GIRONDE;6452;114 554;112 772;0;193;1 589;371 880;2 975 342;170 489;7 973;5 821;4 278;3 180;6 426;15 214;12 845;0;3 573 449;64 812;3 638 261
2017;34 HERAULT;8575;80 841;16 450;0;60 372;4 018;112 647;329 876;109 459;0;780 131;1 640 112;765 529;47 250;115 047;30 317;0;3 930 369;106 111;4 036 480
2017;36 INDRE;226;546;326;0;81;139;7 870;3 696;2 189;0;2 727;1 097;315;342;1 754;643;0;20 633;232;20 865
2017;37 INDRE-ET-LOIRE;858;9 735;9 075;0;139;521;167 228;204 881;31 696;1 135;2 907;2 123;1 421;8 977;4 684;12 545;0;437 598;8 547;446 145
2017;38 ISERE;388;325;148;0;87;90;6 314;609;102;0;795;1 268;54;965;2 661;106;0;12 874;170;13 045
