annee;departement;amm;quantite_produit;conditionnement;eaj
2008;AIN;2000017;448.9;L;Oui
2008;AIN;2000044;369.0;L;Non
2008;AIN;2000045;8.8;L;Non
2008;AIN;2000051;20.0;L;Non
2008;AIN;2000071;14601.300000000001;K;Oui
2008;AIN;2000079;320.0;L;Non
2008;AIN;2000080;3620.4;L;Oui
2008;AIN;2000085;300.0;L;Non
2008;AIN;2000105;10.0;K;Oui
2008;AIN;2000121;6730.0;K;Non
2008;AIN;2000125;1108.9;K;Oui
2008;AIN;2000195;460.0;K;Non
2008;AIN;2000201;5.0;L;Non
2008;AIN;2000205;2.4;K;Non
2008;AIN;2000207;20.0;L;Non
2008;AIN;2000222;82.2;L;Oui
2008;AIN;2000228;373.7;K;Oui
2008;AIN;2000299;10.0;L;Non
2008;AIN;2000301;10.0;L;Non
2008;AIN;2000305;12845.0;L;Non
2008;AIN;2000327;207.0;L;Non
2008;AIN;2000331;78.0;L;Non
2008;AIN;2000333;50.0;L;Non
2008;AIN;2000335;300.0;L;Non
2008;AIN;2000336;264.0;K;Non
2008;AIN;2000341;2320.0;K;Non
2008;AIN;2000352;20.0;K;Non
2008;AIN;2000359;7.0;K;Non
2008;AIN;2000362;1547.8;K;Oui
2008;AIN;2000364;33.0;K;Oui
2008;AIN;2000365;46.7;L;Non
2008;AIN;2000366;232.2;L;Oui
2008;AIN;2000390;5168.4;K;Oui
2008;AIN;2000402;2300.0;L;Non
2008;AIN;2000412;24.0;K;Oui
2008;AIN;2000424;24.0;L;Oui
2008;AIN;2000427;1782.0;K;Non
2008;AIN;2000449;680.0;L;Non
2008;AIN;2000466;1.1;L;Oui
2008;AIN;2000499;230.0;L;Oui
2008;AIN;2000500;817.5;L;Oui
2008;AIN;2000502;260.5;L;Non
2008;AIN;2000509;210.0;L;Non
2008;AIN;2000510;3834.5;K;Oui
2008;AIN;2000517;34.1;L;Oui
2008;AIN;2000520;20.0;L;Non
2008;AIN;2000538;1.5;L;Oui
2008;AIN;2010009;775.0;K;Oui
2008;AIN;2010019;65.0;L;Non
2008;AIN;2010023;460.0;L;Non
2008;AIN;2010030;1820.0;L;Non
2008;AIN;2010035;358.79999999999995;L;Oui
2008;AIN;2010118;56.0;K;Oui
2008;AIN;2010121;106.2;K;Non
2008;AIN;2010125;115.5;K;Non
2008;AIN;2010130;900.0;K;Non
2008;AIN;2010139;5.1;L;Oui
2008;AIN;2010142;500.7;K;Oui
2008;AIN;2010148;3580.0;K;Non
2008;AIN;2010157;229.20000000000002;K;Oui
2008;AIN;2010239;4970.0;L;Non
2008;AIN;2010240;926.0;L;Non
2008;AIN;2010262;37121.0;L;Non
2008;AIN;2010273;540.0;K;Non
2008;AIN;2010278;30.0;L;Non
2008;AIN;2010282;1945.0;L;Non
2008;AIN;2010284;4.0;L;Oui
2008;AIN;2010288;7.6;K;Non
2008;AIN;2010290;7.5;L;Oui
2008;AIN;2010299;2333.7;K;Oui
2008;AIN;2010301;165.0;L;Non
2008;AIN;2010307;10.0;L;Non
2008;AIN;2010315;8.7;K;Non
2008;AIN;2010319;1440.3000000000002;L;Oui
2008;AIN;2010321;6024.6;L;Oui
2008;AIN;2010326;780.0;L;Non
2008;AIN;2010328;1.2;K;Non
2008;AIN;2010335;76.2;L;Oui
2008;AIN;2010351;2695.5;K;Non
2008;AIN;2010374;14.0;K;Non
2008;AIN;2010377;71.1;K;Oui
2008;AIN;2010415;7770.0;L;Non
2008;AIN;2010419;1267.1999999999998;K;Non
2008;AIN;2010420;480.0;L;Oui
2008;AIN;2010429;82.19999999999999;L;Oui
2008;AIN;2010430;315.29999999999995;L;Oui
2008;AIN;2010432;3.0;L;Oui
2008;AIN;2010434;51.900000000000006;L;Oui
2008;AIN;2010436;3.0;K;Oui
2008;AIN;2010438;3.0;L;Oui
2008;AIN;2010439;143.0;L;Oui
