annee;departement;amm;quantite_produit;conditionnement;eaj
2014;AIN;1030003;832.3;L;Oui
2014;AIN;2000003;6135.0;L;Non
2014;AIN;2000017;440.7;L;Oui
2014;AIN;2000018;32300.0;K;Non
2014;AIN;2000044;536.0;L;Non
2014;AIN;2000051;190.0;L;Non
2014;AIN;2000071;7898.400000000001;K;Oui
2014;AIN;2000080;180.0;L;Non
2014;AIN;2000087;52.0;K;Non
2014;AIN;2000091;40.0;K;Non
2014;AIN;2000105;13.0;K;Oui
2014;AIN;2000121;10.0;K;Non
2014;AIN;2000122;7.1;L;Non
2014;AIN;2000125;1922.7;K;Oui
2014;AIN;2000128;69.6;K;Oui
2014;AIN;2000150;2.5;L;Oui
2014;AIN;2000195;160.0;K;Non
2014;AIN;2000201;304.0;L;Non
2014;AIN;2000202;5.0;L;Non
2014;AIN;2000205;2.1;K;Non
2014;AIN;2000208;14.4;L;Non
2014;AIN;2000216;268.0;L;Non
2014;AIN;2000222;0.6;L;Oui
2014;AIN;2000228;1122.6;K;Oui
2014;AIN;2000236;5.0;L;Non
2014;AIN;2000294;792.0;K;Non
2014;AIN;2000299;238.0;L;Non
2014;AIN;2000305;405.0;L;Non
2014;AIN;2000327;394.0;L;Non
2014;AIN;2000332;66.0;L;Non
2014;AIN;2000336;448.0;K;Non
2014;AIN;2000338;80.0;K;Non
2014;AIN;2000341;860.0;K;Non
2014;AIN;2000359;0.1;K;Non
2014;AIN;2000364;44.4;K;Oui
2014;AIN;2000365;2.3;L;Oui
2014;AIN;2000366;78.0;L;Oui
2014;AIN;2000378;150.0;K;Non
2014;AIN;2000390;4913.6;K;Oui
2014;AIN;2000415;4230.0;L;Non
2014;AIN;2000416;97.0;L;Oui
2014;AIN;2000461;3975.0;L;Non
2014;AIN;2000466;1.0;L;Oui
2014;AIN;2000499;2.5;L;Non
2014;AIN;2000500;3524.0;L;Oui
2014;AIN;2000502;382.6;L;Non
2014;AIN;2000510;4475.9;K;Oui
2014;AIN;2000517;507.6;L;Oui
2014;AIN;2000536;465.0;K;Non
2014;AIN;2000538;1.2;L;Oui
2014;AIN;2010019;377.0;L;Non
2014;AIN;2010023;1677.0;L;Non
2014;AIN;2010025;150.0;L;Non
2014;AIN;2010030;1610.0;L;Non
2014;AIN;2010035;1683.8999999999999;L;Oui
