,,,,,,,,,
,,,,,,,,,
"Campagne","Mois","Rouges et Rosés",,,,"Blancs",,,
,,"Vin AOP","Vin IGP","Vin sans IG avec mention de cépages","Vin sans IG sans mention de cépages","Vin AOP","Vin IGP","Vin sans IG avec mention de cépages","Vin sans IG sans mention de cépages"
,"novembre",153.15,90.23,78.92,73.83,142.76,108.14,100.02,79.10
,"décembre",159.07,89.32,84.89,73.45,135.21,105.97,92.57,77.70
,"janvier",148.56,89.17,84.29,76.28,147.22,105.07,95.17,74.12
,"février",147.43,90.86,86.29,74.38,146.55,105.12,95.10,82.25
,"mars",146.07,89.75,81.26,71.76,122.78,100.98,90.94,71.27
,"avril",147.29,88.80,80.59,73.04,115.20,96.39,99.21,65.38
,"mai",148.96,90.92,84.30,72.19,109.32,119.05,102.09,76.93
,"juin",147.25,93.98,80.01,67.32,112.57,103.12,88.12,77.04
,"juillet",152.54,89.82,79.55,65.16,125.34,97.93,104.04,49.61
"2016-2017","août",150.45,84.02,84.17,61.00,131.39,91.60,82.65,55.11
,"septembre",157.98,85.61,84.59,58.48,151.01,101.64,91.51,55.39
,"octobre",154.77,85.54,79.29,66.23,158.71,105.40,99.65,60.71
,"novembre",165.89,87.50,79.54,71.58,159.58,100.34,97.23,62.90
,"décembre",159.73,86.16,81.57,69.42,139.61,99.94,89.44,75.60
,"janvier",149.86,85.77,80.53,66.47,153.13,97.79,88.83,66.87
,"février",143.93,86.57,74.04,65.93,165.48,99.61,87.90,61.56
,"mars",144.12,83.59,80.68,64.91,151.47,98.10,92.07,64.90
,"avril",143.69,83.96,72.36,58.15,148.05,101.77,89.83,62.20
,"mai",143.69,83.92,82.06,55.19,142.31,89.43,87.45,62.55
,"juin",153.23,87.03,84.49,53.96,156.42,102.94,77.95,53.40
,"juillet",153.02,88.01,68.59,48.48,150.91,101.87,76.04,52.24
"2017-2018","août",151.28,84.67,73.60,49.61,160.16,91.81,74.62,59.53
,"septembre",160.68,82.11,63.14,53.79,178.36,92.23,78.06,54.27
,"octobre",169.07,84.41,74.20,63.30,178.32,99.32,82.45,58.18
,"novembre",201.95,86.73,80.43,66.36,160.88,98.14,95.51,69.82
,"décembre",152.10,90.76,85.71,75.55,169.98,100.96,85.19,72.62
,"janvier",172.16,92.77,85.20,73.67,172.35,97.89,85.35,69.54
,"février",167.98,91.99,85.06,70.74,170.14,98.05,89.24,74.00
,"mars",165.83,92.59,86.06,73.10,177.92,108.28,88.01,76.50
,"avril",164.90,99.11,82.75,66.11,170.24,113.08,97.02,72.96
,"mai",171.16,97.83,81.68,69.46,174.20,117.96,93.52,69.49
,"juin",179.31,98.72,84.42,70.41,171.88,114.12,97.86,71.25
,"juillet",179.09,117.17,83.04,68.31,164.70,105.31,96.31,77.04
"2018-2019","août",166.83,91.52,69.41,61.60,150.62,101.88,80.36,65.78
,"septembre",171.52,96.93,84.34,68.92,219.14,94.77,85.86,67.26
,"octobre",167.62,86.92,83.38,81.24,176.16,98.29,95.99,65.50
,"novembre",203.90,91.81,80.40,79.92,151.37,103.27,91.34,74.47
,"décembre",262.53,91.10,83.97,76.15,158.82,97.79,88.12,66.32
,"janvier",174.23,89.39,79.26,70.04,149.52,96.82,82.59,65.64
,"février",157.79,90.77,81.78,70.36,143.79,98.93,90.10,64.97
,"mars",150.34,92.28,76.51,66.81,155.72,105.58,85.37,60.87
,"avril",155.84,92.44,78.55,65.18,174.64,93.58,78.84,63.82
,"mai",153.89,95.28,74.78,69.98,149.93,98.93,71.09,66.03
,"juin",161.50,88.43,84.53,66.54,135.89,93.26,95.88,62.14
,"juillet",162.01,94.93,76.08,66.36,124.09,100.86,83.55,62.70
"2019-2020","août",148.58,92.64,74.40,64.41,127.34,99.35,78.42,66.46
,"septembre","*",91.40,69.15,65.83,"*",114.02,89.16,61.64
,,,,,,,,,
,"(*) cotation disponible au mois m+1 ",,,,,,,,
,"nd = non disponible",,,,,,,,
,"ns = non significatif",,,,,,,,
,"Prix en €/hl",,,,,,,,
