annee;n_dep;n_declar;surface;s_aop;s_gnac;s_autres;q_aop_b;q_aop_r;q_gnac;q_igp_b;q_igp_r;q_b;q_r;qq_b;qq_r;qq_total
2011;01 AIN;872;822;555;;267;17 520;17 430;;768;147;4 679;12 794;22 967;30 371;53 338
2011;02 AISNE;805;2 334;2 327;;7;201 580;;;;;13 548;26;215 128;26;215 154
2011;03 ALLIER;326;682;559;;123;6 396;15 680;;57;222;914;2 800;7 367;18 702;26 069
2011;04 ALPES-HTE-PR;141;678;247;;431;1 029;8 244;;3 122;16 956;361;4 195;4 512;29 395;33 907
2011;05 ALPES-HAUTES;178;123;;;123;;;;636;2 486;77;445;713;2 931;3 644
2011;06 ALPES-Mmes;123;102;56;;46;462;944;;346;640;117;395;925;1 979;2 904
2011;07 ARDECHE;2 337;10 663;2 715;;7 948;8 343;106 694;;79 324;364 479;6 648;32 766;94 315;503 939;598 254
2011;08 ARDENNES;5;1;;;1;;;;;;18;13;18;13;31
2011;09 ARIEGE;73;66;;;66;;;;107;1 214;53;490;160;1 704;1 864
2011;10 AUBE;2 688;6 690;6 659;;31;547 124;;;;;18 109;1 001;565 233;1 001;566 234
2011;11 AUDE;6 067;64 778;19 081;;45 697;117 687;677 979;;542 285;2 574 503;56 934;366 537;716 906;3 619 019;4 335 925
2011;12 AVEYRON;1 079;611;298;;313;297;9 515;;84;756;206;5 463;587;15 734;16 321
2011;13 BOUCHES-DU-R;1 383;9 802;6 405;;3 397;16 133;313 117;;14 220;232 270;4 459;16 716;34 812;562 103;596 915
2011;14 CALVADOS;1;3;;;3;;;;136;10;;;136;10;146
2011;15 CANTAL;18;10;2;;8;14;85;;40;75;5;57;59;217;276
2011;16 CHARENTE;3 979;39 382;210;37 281;1 891;4 146;4 382;4 329 196;5 957;18 961;124 796;83 259;4 464 095;106 602;4 570 697
2011;17 CHARENTE-MAR;4 992;39 502;1 387;34 737;3 378;31 226;36 637;4 183 973;27 622;48 404;290 034;100 711;4 532 855;185 752;4 718 607
2011;18 CHER;836;4 498;3 902;;596;177 084;48 532;;1 183;1 016;481;2 427;178 748;51 975;230 723
2011;19 CORREZE;702;205;;;205;;;;128;1 480;24;2 925;152;4 405;4 557
2011;2A CORSE SUD;46;858;723;;135;3 891;23 688;;383;2 891;228;3 332;4 502;29 911;34 413
2011;2B CORSE(HTE);222;4 888;2 028;;2 860;11 818;76 566;;20 927;179 274;11 984;10 390;44 729;266 230;310 959
2011;21 COTE D'OR;1 744;9 475;9 372;;103;176 227;252 495;;925;745;2 261;1 912;179 413;255 152;434 565
2011;22 COTES-D'ARMOR;;0;;;;;;;;;;;0;0;0
2011;23 CREUSE;;0;;;;;;;;;;;0;0;0
2011;24 DORDOGNE;2 645;12 349;11 174;12;1 163;197 835;334 354;1 136;1 014;14 307;5 063;29 648;205 048;378 309;583 357
2011;25 DOUBS;129;39;;;39;;;;397;85;388;470;785;555;1 340
2011;26 DROME;2 009;16 428;14 078;;2 350;109 379;526 341;;14 829;122 612;1 882;20 493;126 090;669 446;795 536
2011;27 EURE;;0;;;;;;;;;;;0;0;0
2011;28 EURE-ET-LOIR;2;1;;;1;;;;;;6;5;6;5;11
2011;29 FINISTERE;;0;;;;;;;;;;;0;0;0
2011;30 GARD;4 434;52 617;19 130;;33 487;47 555;849 113;;327 179;1 839 041;29 650;400 228;404 384;3 088 382;3 492 766
2011;31 GARONNE(HTE);566;1 690;910;;780;;43 380;;1 148;39 654;466;17 890;1 614;100 924;102 538
2011;32 GERS;1 746;17 836;1 714;1 801;14 321;16 792;80 632;186 865;852 525;172 691;479 757;90 153;1 535 939;343 476;1 879 415
2011;33 GIRONDE;7 923;115 225;110 710;;4 515;593 184;4 891 384;;2 331;13 152;33 127;654 708;628 642;5 559 244;6 187 886
2011;34 HERAULT;10 005;80 710;14 806;;65 904;124 362;499 742;;901 054;3 475 548;119 398;758 966;1 144 814;4 734 256;5 879 070
2011;35 ILLE-ET-VIL;;0;;;;;;;;;;;0;0;0
2011;36 INDRE;859;631;271;;360;7 745;6 971;;3 594;4 700;2 487;7 104;13 826;18 775;32 601
2011;37 INDRE-ET-L;1 767;9 836;9 058;;778;183 972;299 136;;2 883;7 953;14 640;29 532;201 495;336 621;538 116
2011;38 ISERE;2 046;590;200;;390;9 158;602;;1 053;2 225;2 714;7 104;12 925;9 931;22 856
2011;39 JURA;1 378;2 189;1 968;;221;76 504;32 118;;313;151;4 971;3 442;81 788;35 711;117 499
2011;40 LANDES;573;2 035;732;403;900;39 100;15 406;37 069;33 905;14 656;27 753;9 113;137 827;39 175;177 002
2011;41 LOIR-ET-CHER;846;6 792;4 771;;2 021;147 300;107 743;;44 367;33 739;27 924;32 019;219 591;173 501;393 092
