annee;n_dep;n_declar;surface;s_aop;s_gnac;s_autres;q_aop_b;q_aop_r;q_gnac;q_igp_b;q_igp_r;q_b;q_r;qq_b;qq_r;qq_total
2011;42 LOIRE;624;945;583;;362;5 346;16 395;;2 066;5 758;2 134;7 224;9 546;29 377;38 923
2011;43 LOIRE(HAUTE);189;43;;;43;;;;;;31;677;31;677;708
2011;44 LOIRE ATLAN;1 512;13 112;9 266;;3 846;448 225;3 872;;48 817;55 517;151 144;65 653;648 186;125 042;773 228
2011;45 LOIRET;144;242;167;;75;2 272;2 935;;128;518;187;839;2 587;4 292;6 879
2011;46 LOT;1 513;5 257;3 522;;1 735;;182 128;;2 516;61 602;198;74 522;2 714;318 252;320 966
2011;47 LOT-ET-GAR;1 759;6 274;4 630;42;1 602;41 863;210 602;4 368;42 770;33 085;22 728;47 084;111 729;290 771;402 500
2011;48 LOZERE;17;13;;;13;;;;52;176;;83;52;259;311
2011;49 MAINE-ET-L;1 957;19 662;17 282;;2 380;272 454;649 935;;42 970;27 986;40 635;65 980;356 059;743 901;1 099 960
2011;50 MANCHE;;0;;;;;;;;;;;0;0;0
2011;51 MARNE;12 720;22 395;22 390;;5;1 963 596;;;;;125 560;64;2 089 156;64;2 089 220
2011;52 MARNE(HAUTE);240;100;34;;66;2 884;;;942;853;432;740;4 258;1 593;5 851
2011;53 MAYENNE;2;1;;;1;;;;;;77;19;77;19;96
2011;54 MEURTHE-&-M;194;104;60;;44;535;2 920;;;;339;1 726;874;4 646;5 520
2011;55 MEUSE;34;39;;;39;;;;523;666;457;210;980;876;1 856
2011;56 MORBIHAN;;0;;;;;;;;;;;0;0;0
2011;57 MOSELLE;116;115;93;;22;872;614;;;;466;434;1 338;1 048;2 386
2011;58 NIEVRE;460;1 487;1 347;;140;78 201;2 859;;2 383;1 257;661;1 434;81 245;5 550;86 795
2011;59 NORD;1;1;;;1;;;;;;6;1;6;1;7
2011;60 OISE;1;1;;;1;;;;;;3;1;3;1;4
2011;61 ORNE;1;1;;;1;;;;;;;3;0;3;3
2011;62 PAS-DE-CAL;;0;;;;;;;;;;;0;0;0
2011;63 PUY-DE-DOME;1 115;650;270;;380;1 476;8 716;;542;2 223;264;6 767;2 282;17 706;19 988
2011;64 PYRENEES-AT;943;2 514;2 241;;273;53 650;43 883;;648;3 112;681;5 460;54 979;52 455;107 434
2011;65 PYRENEES(HTE);614;378;208;;170;973;8 736;;65;972;278;4 486;1 316;14 194;15 510
2011;66 PYRENEES-OR;3 108;25 252;18 100;;7 152;128 475;380 565;;107 626;301 885;24 930;74 801;261 031;757 251;1 018 282
2011;67 RHIN(BAS);2 615;6 425;6 346;;79;455 978;44 601;;;;17 649;943;473 627;45 544;519 171
2011;68 RHIN (HAUT);2 751;8 635;8 606;;29;585 120;56 373;;;;19 582;1 311;604 702;57 684;662 386
2011;69 RHONE;3 055;17 632;17 274;;358;56 721;807 383;;858;2 331;8 718;29 379;66 297;839 093;905 390
2011;70 SAONE(HAUTE);270;139;;;139;;;;1 818;1 889;479;977;2 297;2 866;5 163
2011;71 SAONE-ET-L;2 422;12 800;12 662;;138;526 578;225 247;;158;344;23 802;6 876;550 538;232 467;783 005
2011;72 SARTHE;338;241;150;;91;4 057;1 890;;58;583;970;1 800;5 085;4 273;9 358
2011;73 SAVOIE;1 020;1 936;1 727;;209;74 990;35 741;;3 868;1 204;4 716;5 975;83 574;42 920;126 494
2011;74 SAVOIE(HTE);208;269;143;;126;7 021;926;;342;78;6 239;2 521;13 602;3 525;17 127
2011;75 PARIS;;0;;;;;;;;;;;0;0;0
2011;76 SEINE-MAR;;0;;;;;;;;;;;0;0;0
2011;77 SEINE ET MARNE;9;22;22;;;1 881;;;;;251;;2 132;0;2 132
2011;78 YVELINES;;0;;;;;;;;;;;0;0;0
2011;79 SEVRES(DEUX);1 365;993;636;;357;12 761;26 038;;908;504;1 600;10 035;15 269;36 577;51 846
2011;80 SOMME;;0;;;;;;;;;;;0;0;0
2011;81 TARN;907;6 731;2 968;;3 763;41 993;97 037;;43 007;188 738;16 193;74 165;101 193;359 940;461 133
2011;82 TARN-ET-G;857;1 684;678;;1 006;;35 720;;4 020;42 719;478;26 599;4 498;105 038;109 536
2011;83 VAR;3 834;28 457;21 875;;6 582;36 739;1 010 959;;25 680;350 665;3 235;32 477;65 654;1 394 101;1 459 755
2011;84 VAUCLUSE;4 551;46 934;36 715;;10 219;94 931;1 421 240;;76 202;461 523;21 142;116 711;192 275;1 999 474;2 191 749
2011;85 VENDEE;4 330;1 471;506;;965;7 298;20 003;;4 800;8 599;5 009;29 254;17 107;57 856;74 963
2011;86 VIENNE;2 558;1 641;585;;1 056;17 975;16 983;;20 603;10 998;5 649;16 017;44 227;43 998;88 225
2011;87 VIENNE(HTE);13;6;;;6;;;;;155;;33;0;188;188
2011;88 VOSGES;243;31;;;31;;;;;;18;612;18;612;630
2011;89 YONNE;1 138;6 994;6 910;;84;386 467;32 096;;140;267;46 323;2 808;432 930;35 171;468 101
2011;90 T. de BELFORT;1;1;;;1;;;;;;10;;10;0;10
2011;91 ESSONNE;;0;;;;;;;;;;;0;0;0
2011;92 HAUTS-DE-S;;0;;;;;;;;;;;0;0;0
2011;93 SEINE-ST-D;;0;;;;;;;;;;;0;0;0
2011;94 VAL-DE-MARNE;;0;;;;;;;;;;;0;0;0
2011;95 VAL-D'OISE;;0;;;;;;;;;;;0;0;0
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;TOTAUX;125 294;756 769;444 044;74 276;238 449;8 185 195;14 625 307;8 742 607;3 319 352;10 753 250;1 839 436;3 426 230;22 086 590;28 804 787;50 891 377
