annee;n_dep;n_decl;surface;s_aop;s_gnac;s_igp;s_vsig;q_aop_b;q_aop_rg;q_aop_rs;q_igp_b;q_igp_rg;q_igp_rs;q_vsig_b;q_vsig_rg;q_vsig_rs;qq_b;qq_rg;qq_rs;qq_gnac;qq_nc;qq_total
2012;01 AIN;819;864;542;0;18;304;10 682;2 363;11040;618;113;126;3 489;3 365;5 655;14 788;5 841;16 821;0;253;37 703
2012;02 AISNE;833;2 449;2 442;0;0;7;121 921;0;0;0;0;0;170;9;1;122 091;9;1;0;1 680;123 781
2012;03 ALLIER;368;697;554;0;6;137;5 712;11 196;2 970;55;100;0;537;1 060;1 488;6 304;12 356;4 458;0;374;23 492
2012;04 ALPES-HTE-PR;136;697;252;0;350;95;1 335;3 038;7 201;2 745;6 957;11 489;350;1 398;5 023;4 430;11 393;23 713;0;1 354;40 890
2012;05 ALPES-HAUTES;160;110;;0;85;25;0;;0;705;1 186;1 026;53;285;5;758;1 471;1 031;0;157;3 417
2012;06 ALPES-Mmes;120;96;55;0;23;18;473;467;388;185;341;164;12;314;15;670;1 122;567;0;44;2 403
2012;07 ARDECHE;2 225;10 489;2 650;0;7 231;608;7 782;89 913;7 314;75 858;315 340;18 082;10 293;13 951;643;93 933;419 203;26 039;0;11 575;550 751
2012;08 ARDENNES;8;1;0;0;;1;0;0;0;;;;9;8;1;9;8;1;0;0;18
2012;09 ARIEGE;59;200;0;0;48;152;0;0;0;158;1 246;337;0;324;1;158;1 570;338;0;27;2 093
2012;10 AUBE;2 805;7 018;6 993;0;;25;397 348;0;0;0;0;0;204;420;154;397 552;420;154;0;6 220;404 345
2012;11 AUDE;5 985;64 435;19 624;0;41 116;3 695;105 067;573 870;52 361;427 064;1 947 163;172 001;32 598;149 609;24 669;564 728;2 670 643;249 031;0;49 575;3 533 977
2012;12 AVEYRON;1 044;622;279;0;33;310;304;8 897;1 964;81;652;75;188;4 820;133;573;14 369;2 172;0;272;17 387
2012;13 BOUCHES-DU-R;1 334;10 051;6 600;0;3 175;276;17 206;50 291;244 311;15 215;79 689;108 787;1 779;9 629;2 351;34 200;139 610;355 448;0;19 468;548 726
2012;14 CALVADOS;1;3;0;0;3;0;;;;92;7;0;;;;92;7;0;0;5;104
2012;15 CANTAL;22;11;2;0;6;3;17;49;22;33;87;13;5;64;0;55;200;35;0;6;296
2012;16 CHARENTE;3 921;39 024;128;37 414;447;1 035;3 711;;3 775;4 652;18 404;0;20 456;35 775;3;28 819;54 179;3 778;3 640 845;11 554;3 739 176
2012;17 CHARENTE-MAR;5 008;38 785;834;35 340;1 142;1 469;27 294;;33 178;19 880;39 641;0;68 623;46 133;0;115 797;85 773;33 178;3 746 367;18 166;3 999 281
2012;18 CHER;809;4 085;3 924;0;36;125;174 587;26 162;12 445;1 044;257;189;403;1 322;342;176 034;27 741;12 976;0;327;217 078
2012;19 CORREZE;751;205;0;0;69;136;;;;406;1 138;374;8;2 814;10;414;3 952;384;0;0;4 749
2012;2A CORSE SUD;75;854;706;0;45;103;3 257;10 896;10 020;316;1 161;1 304;310;2 286;1 202;3 883;14 343;12 526;0;748;31 500
2012;2B CORSE(HTE);272;4 952;2 224;0;2 495;233;10 653;22 831;55 416;20 779;47 829;132 101;11 801;1 228;3 760;43 233;71 888;191 276;0;5 936;312 333
2012;21 COTE D'OR;1 748;9 484;9 379;0;38;67;108 703;178 438;1 599;457;312;70;552;1 014;67;109 712;179 764;1 736;0;3 988;295 199
2012;22 COTES-D'ARMOR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;23 CREUSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;24 DORDOGNE;2 513;12 086;11 063;12;164;847;190 227;249 152;52 755;2 927;6 467;1 669;3 937;16 278;1 904;197 091;271 897;56 328;1 100;15 585;542 002
2012;25 DOUBS;169;36;;0;19;17;;;;202;16;17;201;225;29;403;241;46;0;0;690
2012;26 DROME;1 989;16 262;13 948;0;2 083;231;110 352;474 681;13 592;11 531;81 378;9 586;566;5 526;480;122 449;561 585;23 658;0;27 074;734 766
2012;27 EURE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;28 EURE-ET-LOIR;1;1;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;3;0;0;3
2012;29 FINISTERE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;30 GARD;4 403;52 666;19 025;0;30 604;3 037;46 173;656 539;149 496;297 221;1 353 482;449 468;41 047;166 507;30 343;384 442;2 176 527;629 306;0;80 289;3 270 564
2012;31 GARONNE(HTE);537;1 642;901;0;553;188;0;23 179;14 982;563;22 466;16 006;154;5 761;384;717;51 407;31 372;0;2 561;86 057
2012;32 GERS;1 699;18 264;1 686;1 712;11 650;3 216;17 461;59 686;17 246;881 930;86 750;87 101;316 535;28 871;26 669;1 215 926;175 307;131 016;160 385;20 665;1 703 299
2012;33 GIRONDE;7 776;115 348;112 878;0;118;2 352;564 470;4 489 182;215 368;2 794;5 742;3 259;12 408;145 573;22 771;579 671;4 640 497;241 398;0;160 751;5 622 317
2012;34 HERAULT;9 811;80 807;15 283;0;58 944;6 580;109 110;388 493;79 457;766 629;2 537 048;400 301;43 883;310 679;51 337;919 622;3 236 220;531 095;0;105 396;4 792 334
2012;35 ILLE-ET-VIL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;36 INDRE;828;669;275;0;102;292;6 007;2 740;1 449;2 131;2 123;203;747;2 552;738;8 885;7 415;2 390;0;186;18 876
2012;37 INDRE-ET-L;1 711;10 012;9 137;0;139;736;128 199;192 280;30 078;879;2 373;722;4 711;6 314;6 712;133 789;200 966;37 512;0;8 072;380 340
2012;38 ISERE;1 350;582;176;0;81;325;8 852;543;113;1 011;1 414;193;1 814;6 519;715;11 677;8 476;1 021;0;306;21 479
2012;39 JURA;1 459;2 192;1 993;0;15;184;50 525;16 206;2 427;143;78;0;2 277;1 746;278;52 946;18 030;2 705;0;1 011;74 692
2012;40 LANDES;534;1 798;309;493;686;310;2 510;8 033;6 251;36 754;6 327;7 804;15 754;2 773;1 586;55 018;17 133;15 640;31 355;1 858;121 006
2012;41 LOIR-ET-CHER;853;6 905;4 915;0;982;1 008;93 991;34 156;27 228;20 020;9 624;2 552;6 227;5 510;6 393;120 237;49 290;36 173;0;3 342;209 042
2012;42 LOIRE;563;1 044;679;0;145;220;5 578;14 669;1 544;1 944;2 769;1 910;2 130;4 671;1 174;9 652;22 109;4 628;0;578;36 966
2012;43 LOIRE(HAUTE);198;40;0;0;0;40;0;0;0;0;0;0;16;502;63;16;502;63;0;0;581
2012;44 LOIRE ATLAN;1 447;12 318;9 411;0;1 397;1 510;250 282;1 223;830;27 829;16 090;18 266;24 597;11 555;19 850;302 709;28 868;38 946;0;6 057;376 580
2012;45 LOIRET;134;225;183;0;21;21;1 779;1 317;602;77;155;163;78;286;108;1 934;1 758;873;0;109;4 673
2012;46 LOT;1 455;5 090;3 597;0;740;753;0;158 594;1 241;2 192;27 826;16 431;130;34 513;2 429;2 322;220 933;20 101;0;4 595;247 952
2012;47 LOT-ET-GAR;1 767;6 208;4 611;35;796;766;35 569;146 862;53 491;38 232;14 779;11 228;19 965;24 274;3 278;93 767;185 915;67 997;3 235;9 170;360 084
