annee;n_dep;n_decl;surface;s_aop;s_gnac;s_igp;s_vsig;q_aop_b;q_aop_rg;q_aop_rs;q_igp_b;q_igp_rg;q_igp_rs;q_vsig_b;q_vsig_rg;q_vsig_rs;qq_b;qq_rg;qq_rs;qq_gnac;qq_nc;qq_total
2012;48 LOZERE;14;5;;0;0;5;0;0;0;83;144;30;;41;0;83;185;30;0;5;303
2012;49 MAINE-ET-L;1 955;19 520;17 411;0;1 047;1 062;209 164;140 328;400 720;27 998;11 467;6 525;12 972;11 060;10 069;250 135;162 855;417 314;0;14 746;845 049
2012;50 MANCHE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;51 MARNE;12 405;23 499;23 494;0;0;5;1 455 221;0;0;0;0;0;61;18;17;1 455 281;18;17;0;23 048;1 478 365
2012;52 MARNE(HAUTE);251;101;41;0;34;26;2 362;0;0;506;409;97;218;362;11;3 087;771;108;0;47;4 013
2012;53 MAYENNE;2;1;0;0;0;1;;0;0;0;0;0;19;;12;19;0;12;0;0;31
2012;54 MEURTHE-&-M;177;149;54;0;0;95;328;295;841;0;0;0;216;299;381;545;594;1 222;0;21;2 382
2012;55 MEUSE;25;38;;0;31;7;;;;326;226;251;198;18;4;523;244;255;0;0;1 023
2012;56 MORBIHAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;57 MOSELLE;97;57;22;0;0;35;268;201;35;;;;75;144;20;343;344;54;0;0;742
2012;58 NIEVRE;429;1 500;1 320;0;106;74;77 786;1 966;569;1 476;696;182;413;675;228;79 676;3 337;979;0;115;84 107
2012;59 NORD;4;1;0;0;0;1;0;0;0;0;0;0;12;7;0;12;7;0;0;0;19
2012;60 OISE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;61 ORNE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;62 PAS-DE-CAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;63 PUY-DE-DOME;1 186;565;265;0;76;224;1 228;5 540;2 815;489;1 868;823;229;4 999;657;1 946;12 407;4 295;0;193;18 841
2012;64 PYRENEES-AT;908;2 495;2 264;0;88;143;55 111;34 635;6 907;648;3 602;294;679;3 943;393;56 438;42 180;7 594;0;1 727;107 939
2012;65 PYRENEES(HTE);614;364;210;0;30;124;682;5 742;221;0;1 224;188;205;2 417;567;887;9 383;976;0;90;11 336
2012;66 PYRENEES-OR;3 009;23 866;16 633;0;6 391;842;106 816;163 321;124 235;68 721;137 799;60 286;12 163;16 723;3 652;187 701;317 843;188 173;0;16 365;710 081
2012;67 RHIN(BAS);2 513;6 628;6 572;0;0;56;460 409;4 369;22 174;0;0;0;2 628;118;65;463 037;4 487;22 238;0;17 067;506 830
2012;68 RHIN (HAUT);2 660;8 954;8 930;0;;24;600 596;6 085;32 732;0;0;0;1 355;65;51;601 951;6 150;32 783;0;22 204;663 088
2012;69 RHONE;2 963;17 515;17 141;0;61;313;45 172;484 975;14 631;838;1 390;247;1 758;3 761;1 879;47 769;490 127;16 757;0;16 179;570 831
2012;70 SAONE(HAUTE);279;117;0;0;81;36;0;0;0;750;666;225;197;404;5;947;1 070;230;0;0;2 246
2012;71 SAONE-ET-L;2 339;12 953;12 827;0;15;111;437 399;158 621;3 625;71;42;30;1 523;1 343;198;438 993;160 006;3 852;0;10 841;613 693
2012;72 SARTHE;301;252;140;0;7;105;1 643;636;651;0;97;65;375;570;229;2 018;1 304;945;0;108;4 375
2012;73 SAVOIE;1 070;1 968;1 729;0;84;155;69 248;22 275;7 313;3 736;776;231;2 380;2 542;748;75 364;25 593;8 292;0;2 049;111 299
2012;74 SAVOIE(HTE);201;279;138;0;11;130;4 786;589;184;263;89;18;5 653;2 695;69;10 702;3 373;271;0;96;14 442
2012;75 PARIS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;76 SEINE-MAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;77 SEINE ET MARNE;9;22;22;0;0;0;1 280;0;0;0;0;0;0;0;0;1 280;0;0;0;12;1 292
2012;78 YVELINES;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;79 SEVRES(DEUX);1 520;1 021;659;0;72;290;11 192;2 348;22 315;808;255;0;689;6 769;493;12 689;9 372;22 808;0;574;45 444
2012;80 SOMME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;81 TARN;881;6 664;2 961;0;2 578;1 125;40 103;71 942;19 951;53 345;110 186;34 626;26 786;37 408;14 892;120 234;219 536;69 469;0;8 254;417 492
2012;82 TARN-ET-G;790;1 631;687;0;486;458;0;19 399;13 154;1 295;20 341;13 084;495;13 460;4 398;1 790;53 200;30 636;0;1 953;87 579
2012;83 VAR;3 702;28 161;21 834;0;5 861;466;34 686;85 876;823 362;20 007;61 078;182 960;1 382;7 010;13 062;56 075;153 963;1 019 384;0;39 181;1 268 604
2012;84 VAUCLUSE;4 395;46 890;36 945;0;8 252;1 693;82 506;1 157 874;152 301;64 909;232 347;140 976;20 226;32 880;17 495;167 641;1 423 100;310 771;0;54 176;1 955 689
2012;85 VENDEE;4 176;1 457;518;0;247;692;4 538;5 695;6 274;2 220;2 540;2 900;2 539;8 420;9 969;9 297;16 655;19 143;0;771;45 866
2012;86 VIENNE;2 413;1 614;584;0;443;587;13 685;5 549;8 128;13 783;3 999;2 267;1 293;9 043;576;28 761;18 591;10 971;0;639;58 962
2012;87 VIENNE(HTE);14;7;0;0;5;2;0;0;0;0;0;238;0;22;0;0;22;238;0;20;280
2012;88 VOSGES;249;81;0;0;0;81;0;0;0;0;0;0;18;403;2;18;403;2;0;0;423
2012;89 YONNE;1 140;7 150;7 085;0;4;61;346 018;22 480;2 368;66;142;24;472;1 030;208;346 556;23 652;2 600;0;8 317;381 125
2012;90 T. de BELFORT;2;1;0;0;0;1;0;0;0;6;0;0;3;0;0;9;0;0;0;1;9
2012;91 ESSONNE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
2012;92 HAUTS-DE-S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
2012;93 SEINE-ST-D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
2012;94 VAL-DE-MARNE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
2012;95 VAL-D'OISE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;
;TOTAUX;122 393;754 853;447 744;75 006;191 615;40 488;6 679 365;10 296 687;2 777 659;2 927 694;7 229 911;1 919 582;746 252;1 225 112;303 113;10 353 311;18 751 710;5 000 355;7 583 287;818 135;42 506 798
;;;;;;;;;;;;;;;;;;;;;;
;* Cette rubrique contient les lies et/ou les vins en d‚passement de rendement. ;;;;;;;;;;;;;;;;;;;;;
