annee;departement;amm;quantite_produit;conditionnement;eaj
2015;AIN;1030003;1.8;L;Oui
2015;AIN;2000003;4512.0;L;Non
2015;AIN;2000017;23.4;L;Oui
2015;AIN;2000018;4940.0;K;Non
2015;AIN;2000044;494.0;L;Non
2015;AIN;2000051;66.0;L;Non
2015;AIN;2000071;5034.0;K;Oui
2015;AIN;2000083;85.0;K;Non
2015;AIN;2000087;128.0;K;Non
2015;AIN;2000105;3.0;K;Oui
2015;AIN;2000121;10.0;K;Non
2015;AIN;2000122;4.2;L;Non
2015;AIN;2000125;1811.6;K;Oui
2015;AIN;2000128;11.100000000000001;K;Oui
2015;AIN;2000201;362.8;L;Non
2015;AIN;2000205;2.1;K;Non
2015;AIN;2000207;45.0;L;Non
2015;AIN;2000208;8.5;L;Non
2015;AIN;2000214;3.0;L;Non
2015;AIN;2000216;920.0;L;Non
2015;AIN;2000222;0.3;L;Oui
2015;AIN;2000228;162.9;K;Oui
2015;AIN;2000236;13.0;L;Non
2015;AIN;2000294;610.0;K;Non
2015;AIN;2000299;440.0;L;Non
2015;AIN;2000305;5.0;L;Non
2015;AIN;2000324;10.0;L;Non
2015;AIN;2000327;338.0;L;Non
2015;AIN;2000336;50.0;K;Non
2015;AIN;2000341;320.0;K;Non
2015;AIN;2000352;10.0;K;Non
2015;AIN;2000364;85.6;K;Oui
2015;AIN;2000366;103.6;L;Oui
2015;AIN;2000369;0.6;K;Non
2015;AIN;2000380;5.0;L;Non
2015;AIN;2000390;4742.6;K;Oui
2015;AIN;2000415;60.0;L;Non
2015;AIN;2000416;69.0;L;Oui
2015;AIN;2000461;2145.0;L;Non
2015;AIN;2000499;160.0;L;Non
2015;AIN;2000500;4927.9;L;Oui
2015;AIN;2000502;198.0;L;Non
2015;AIN;2000510;9774.7;K;Oui
2015;AIN;2000517;711.0;L;Oui
2015;AIN;2000536;138.0;K;Non
2015;AIN;2000538;0.1;L;Oui
2015;AIN;2010019;442.0;L;Non
2015;AIN;2010023;1748.0;L;Non
2015;AIN;2010025;555.0;L;Non
2015;AIN;2010030;1540.0;L;Non
2015;AIN;2010035;2462.7;L;Oui
2015;AIN;2010047;60.0;L;Non
2015;AIN;2010118;792.0;K;Oui
2015;AIN;2010130;1460.0;K;Non
2015;AIN;2010132;52.0;K;Non
2015;AIN;2010139;31.9;L;Non
2015;AIN;2010239;5270.0;L;Non
2015;AIN;2010240;580.0;L;Non
2015;AIN;2010280;4868.0;L;Non
2015;AIN;2010282;1931.0;L;Non
2015;AIN;2010284;15.8;L;Oui
2015;AIN;2010299;38.7;K;Oui
2015;AIN;2010310;40.0;L;Non
2015;AIN;2010311;6.0;L;Non
2015;AIN;2010315;3.2;K;Non
2015;AIN;2010319;462.59999999999997;L;Oui
2015;AIN;2010321;1647.2;L;Oui
2015;AIN;2010324;14.0;K;Oui
2015;AIN;2010326;10.0;L;Non
2015;AIN;2010332;14.0;L;Non
2015;AIN;2010335;27.0;L;Oui
2015;AIN;2010351;3330.6000000000004;K;Non
2015;AIN;2010410;268.7;K;Oui
2015;AIN;2010415;26580.0;L;Non
2015;AIN;2010419;3117.6000000000004;K;Non
2015;AIN;2010425;194.8;K;Non
2015;AIN;2010427;35.0;L;Non
2015;AIN;2010438;32.0;L;Oui
2015;AIN;2010439;145.0;L;Oui
2015;AIN;2010441;260.0;L;Non
2015;AIN;2010493;751.7;K;Oui
2015;AIN;2010495;2505.0;K;Non
2015;AIN;2010498;100.0;L;Non
2015;AIN;2010499;2600.0;L;Non
2015;AIN;2010502;5.0;L;Non
2015;AIN;2010509;920.6;K;Oui
2015;AIN;2010512;8.4;L;Oui
2015;AIN;2010525;26.0;K;Non
2015;AIN;2010530;18.0;L;Oui
2015;AIN;2010531;5140.0;L;Non
2015;AIN;2010537;3.2;K;Non
2015;AIN;2010584;25.0;L;Non
2015;AIN;2010612;5320.0;L;Oui
2015;AIN;2010618;484.8;K;Oui
2015;AIN;2010628;0.8;K;Non
2015;AIN;2010632;11.0;K;Non
2015;AIN;2020003;3195.7;K;Oui
2015;AIN;2020009;0.4;L;Oui
2015;AIN;2020020;118.4;L;Oui
2015;AIN;2020021;75.0;L;Non
2015;AIN;2020047;100.0;L;Oui
2015;AIN;2020048;20.0;L;Oui
2015;AIN;2020062;75.0;L;Non
2015;AIN;2020065;28.3;K;Oui
2015;AIN;2020069;111.0;L;Non
2015;AIN;2020099;8.0;L;Non
2015;AIN;2020110;1820.0;K;Non
2015;AIN;2020216;3.0;L;Non
2015;AIN;2020219;20.0;L;Non
2015;AIN;2020224;63.0;K;Non
2015;AIN;2020267;5.0;K;Non
2015;AIN;2020294;92.0;L;Non
2015;AIN;2020304;4.3;L;Oui
2015;AIN;2020318;462.0;L;Oui
2015;AIN;2020328;610.0;L;Non
2015;AIN;2020339;135.0;L;Non
2015;AIN;2020348;370.0;L;Non
2015;AIN;2020355;0.0;L;Oui
2015;AIN;2020448;71.2;L;Oui
2015;AIN;2020456;530.0;L;Non
2015;AIN;2020474;545.0;L;Non
2015;AIN;2030010;575.1;L;Non
2015;AIN;2030011;4.0;L;Non
2015;AIN;2030050;60.0;L;Oui
2015;AIN;2030073;3915.0;K;Non
2015;AIN;2030125;1606.4;L;Oui
2015;AIN;2030174;2.8;K;Non
2015;AIN;2030175;2032.6;K;Oui
2015;AIN;2030255;1830.0;L;Non
2015;AIN;2030273;656.4;L;Oui
2015;AIN;2030286;1.5;L;Oui
2015;AIN;2030290;1500.0;L;Non
2015;AIN;2030292;160.0;K;Non
2015;AIN;2030321;4.5;L;Oui
2015;AIN;2030323;1636.8;L;Non
2015;AIN;2030332;1730.4;L;Oui
2015;AIN;2030404;727.0;L;Non
2015;AIN;2030457;5.5;K;Non
2015;AIN;2030466;280.5;K;Oui
2015;AIN;2040079;159.3;L;Oui
2015;AIN;2040080;660.5999999999999;K;Oui
2015;AIN;2040085;14.3;L;Oui
2015;AIN;2040109;153.0;K;Non
2015;AIN;2040146;135.2;L;Non
2015;AIN;2040195;923.0;L;Non
2015;AIN;2040199;47.0;K;Non
2015;AIN;2040201;40.0;L;Non
2015;AIN;2040310;320.0;L;Non
2015;AIN;2040322;0.2;L;Non
2015;AIN;2040330;5140.0;K;Oui
2015;AIN;2040338;61.0;L;Non
2015;AIN;2040348;61.0;K;Non
2015;AIN;2050038;3.5;L;Oui
2015;AIN;2050046;1.5;K;Non
2015;AIN;2050050;35.0;L;Oui
2015;AIN;2050075;491.3;K;Non
2015;AIN;2050076;92.0;K;Non
2015;AIN;2050077;24.0;K;Oui
2015;AIN;2050078;10.0;L;Non
2015;AIN;2050136;3912.0;K;Non
2015;AIN;2050144;445.79999999999995;L;Oui
2015;AIN;2050145;4167.0;L;Oui
2015;AIN;2050146;7288.4;L;Oui
2015;AIN;2060002;303.0;L;Non
2015;AIN;2060011;0.2;L;Oui
2015;AIN;2060026;0.1;K;Non
2015;AIN;2060050;336.0;L;Non
2015;AIN;2060051;15.0;L;Non
2015;AIN;2060084;4456.0;K;Non
2015;AIN;2060085;174.0;L;Non
2015;AIN;2060086;5.6;K;Non
2015;AIN;2060088;146430.0;L;Non
2015;AIN;2060091;12370.0;L;Non
2015;AIN;2060098;238.3;L;Non
2015;AIN;2060113;1.2;L;Non
2015;AIN;2060115;190.0;L;Non
2015;AIN;2060116;31.0;L;Non
2015;AIN;2060118;760.0;L;Non
2015;AIN;2060119;1.1;K;Non
2015;AIN;2060120;10.0;L;Non
2015;AIN;2060127;2617.2;L;Non
2015;AIN;2060128;3120.0;L;Non
2015;AIN;2060129;170.8;K;Non
2015;AIN;2060131;4926.8;L;Oui
2015;AIN;2060133;162.0;L;Non
2015;AIN;2060134;1350.0;K;Non
2015;AIN;2060175;406.7;K;Oui
2015;AIN;2060194;39690.0;K;Non
2015;AIN;2070092;12580.0;L;Non
2015;AIN;2070107;14.0;L;Non
2015;AIN;2070133;325.0;L;Non
2015;AIN;2070170;294.0;L;Oui
2015;AIN;2070184;2100.0;L;Non
2015;AIN;2070185;30.0;L;Non
2015;AIN;2070221;7610.0;L;Non
2015;AIN;2080018;2917.0;L;Oui
2015;AIN;2080019;3.4;L;Non
2015;AIN;2080026;663.0;L;Non
2015;AIN;2080029;275.4;L;Non
2015;AIN;2080038;5.0;L;Non
2015;AIN;2080039;410.0;L;Non
2015;AIN;2080053;574.2;L;Oui
2015;AIN;2080054;2319.5;L;Oui
2015;AIN;2080060;16.0;L;Non
2015;AIN;2080070;430.0;K;Non
2015;AIN;2080088;10.0;L;Non
2015;AIN;2080089;2385.6;L;Oui
2015;AIN;2080090;919.4;L;Oui
2015;AIN;2080091;59.2;K;Oui
2015;AIN;2080094;1720.0;K;Non
2015;AIN;2080097;30.0;L;Non
2015;AIN;2080098;56.3;L;Oui
2015;AIN;2080100;20.0;K;Non
2015;AIN;2080101;615.0;K;Non
2015;AIN;2080102;1980.0;L;Non
2015;AIN;2080103;460.0;L;Non
2015;AIN;2080105;38.0;L;Non
2015;AIN;2080107;120.0;L;Non
2015;AIN;2080109;302.0;L;Non
2015;AIN;2080112;1046.8;L;Non
2015;AIN;2080113;270.0;K;Non
2015;AIN;2080114;120.0;L;Non
2015;AIN;2080117;7.8;K;Non
2015;AIN;2080119;6804.0;L;Non
2015;AIN;2080120;1818.0;L;Non
2015;AIN;2080121;378.0;K;Non
2015;AIN;2080129;356.0;L;Non
2015;AIN;2080132;3.8;L;Oui
2015;AIN;2080133;372.9;L;Oui
2015;AIN;2080134;50.0;L;Oui
2015;AIN;2080136;152.0;K;Non
2015;AIN;2080145;680.0;L;Non
2015;AIN;2080147;88.4;L;Non
2015;AIN;2090001;48.5;L;Non
2015;AIN;2090005;10.0;K;Non
2015;AIN;2090008;1338.0;L;Non
2015;AIN;2090016;1060.0;L;Non
2015;AIN;2090018;225.0;L;Non
2015;AIN;2090019;480.0;L;Non
2015;AIN;2090024;8510.0;L;Non
2015;AIN;2090032;572.0;L;Oui
2015;AIN;2090033;16.0;L;Oui
2015;AIN;2090034;195.1;L;Oui
2015;AIN;2090036;1539.8;L;Oui
2015;AIN;2090037;8108.0;K;Non
2015;AIN;2090038;10970.0;L;Non
2015;AIN;2090041;2682.0;K;Non
2015;AIN;2090042;1017.3000000000001;K;Non
2015;AIN;2090043;226.2;L;Non
2015;AIN;2090044;1238.6;L;Oui
2015;AIN;2090045;96.3;L;Oui
2015;AIN;2090050;317512.0;K;Non
2015;AIN;2090052;23.5;K;Non
2015;AIN;2090053;6720.0;L;Non
2015;AIN;2090054;748.0;K;Non
2015;AIN;2090055;140.0;L;Non
2015;AIN;2090057;40.4;K;Non
2015;AIN;2090060;180.0;L;Non
2015;AIN;2090063;8.4;K;Non
2015;AIN;2090064;5725.0;L;Non
2015;AIN;2090068;1130.0;L;Non
2015;AIN;2090070;43.5;K;Non
2015;AIN;2090072;7.7;K;Non
2015;AIN;2090075;1930.0;K;Non
2015;AIN;2090078;8.5;L;Oui
2015;AIN;2090079;139.0;L;Oui
2015;AIN;2090082;28.0;L;Non
2015;AIN;2090091;96.0;K;Non
2015;AIN;2090092;2182.0;L;Non
2015;AIN;2090093;640.0;L;Non
2015;AIN;2090094;1285.0;K;Non
2015;AIN;2090096;937.4;L;Non
2015;AIN;2090101;100.0;L;Non
2015;AIN;2090103;375.0;K;Non
2015;AIN;2090112;90.0;L;Non
2015;AIN;2090113;12130.0;L;Non
2015;AIN;2090115;440.0;L;Non
2015;AIN;2090116;60.0;L;Non
2015;AIN;2090117;717.0;L;Non
2015;AIN;2090118;15419.6;L;Non
2015;AIN;2090119;1660.0;L;Non
2015;AIN;2090123;168.0;L;Non
2015;AIN;2090124;489.6;L;Oui
2015;AIN;2090126;6380.0;L;Non
2015;AIN;2090128;215.0;L;Non
2015;AIN;2090129;198.0;L;Non
2015;AIN;2090132;4980.0;L;Non
2015;AIN;2090135;450.0;K;Non
2015;AIN;2090136;2410.0;L;Non
2015;AIN;2090138;22.9;K;Non
2015;AIN;2090146;908.0;L;Oui
2015;AIN;2090149;10.0;L;Non
2015;AIN;2090152;367.0;L;Non
2015;AIN;2090153;46.4;K;Non
2015;AIN;2090159;1.0;K;Non
2015;AIN;2090160;13940.0;L;Non
2015;AIN;2090164;3095.6;L;Oui
2015;AIN;2090165;12.0;L;Oui
2015;AIN;2090172;7790.0;L;Non
2015;AIN;2090173;4980.0;L;Non
2015;AIN;2090176;2954.0;L;Oui
2015;AIN;2090178;1685.2;L;Oui
2015;AIN;2090186;6725.0;L;Non
2015;AIN;2090189;18.0;L;Non
2015;AIN;2090199;96.8;L;Oui
2015;AIN;2090200;981.4;L;Oui
2015;AIN;2100001;180.0;L;Non
2015;AIN;2100004;3233.4;L;Oui
2015;AIN;2100009;1110.4;K;Non
2015;AIN;2100014;71.4;K;Non
2015;AIN;2100015;38.1;K;Non
2015;AIN;2100016;79.0;K;Non
2015;AIN;2100025;19.0;L;Non
2015;AIN;2100026;165.0;L;Non
2015;AIN;2100030;2660.0;K;Non
2015;AIN;2100034;25.0;L;Non
2015;AIN;2100035;140.0;L;Non
2015;AIN;2100040;560.0;L;Non
2015;AIN;2100041;580.0;L;Non
2015;AIN;2100052;3355.0;L;Non
2015;AIN;2100057;11680.0;L;Non
2015;AIN;2100058;24.0;K;Non
2015;AIN;2100059;10.0;L;Non
2015;AIN;2100060;208.0;L;Non
2015;AIN;2100071;500.0;L;Non
2015;AIN;2100078;1313.0;L;Oui
2015;AIN;2100083;1228.8;L;Oui
2015;AIN;2100099;69.0;L;Oui
2015;AIN;2100100;99.2;L;Oui
2015;AIN;2100102;15.0;L;Non
2015;AIN;2100108;31602.0;L;Non
