annee;n_dep;n_decl;surface;s_aop;s_gnac;s_igp;s_vsig;q_aop_b;q_aop_rg;q_aop_rs;q_vsi-vci;q_igp_b;q_igp_rg;q_igp_rs;q_vsig_b;q_vsig_rg;q_vsig_rs;q_gnac;qq_c;qq_nc;qq_total
2014;2B CORSE(HTE);325;5 103;2 135;;2 677;290;13 035;22 295;52 142;;25 930;39 440;156 074;4 814;2 536;4 410;;320 677;8 181;328 857
2014;21 COTE D'OR;1 677;9 530;9 427;;28;75;160 209;248 924;2 346;448;559;439;98;935;1 258;171;;415 388;5 339;420 727
2014;24 DORDOGNE;2 143;11 722;10 767;17;246;692;174 498;232 994;68 410;163;2 859;8 931;3 074;4 672;13 301;2 653;2 021;513 576;10 882;524 459
2014;25 DOUBS;189;27;0;;9;18;0;0;0;;196;19;20;324;288;33;;880;16;897
2014;26 DROME;1 878;16 130;13 507;;2 313;309;120 299;511 814;16 176;;15 870;123 070;20 332;852;14 186;1 042;;823 640;30 565;854 204
2014;28 EURE-ET-LOIR;1;1;0;;0;1;0;0;0;;0;0;0;0;0;6;;6;0;6
2014;30 GARD;4 155;52 804;19 126;;30 380;3 299;61 701;676 998;176 634;;360 718;1 220 852;626 790;35 823;211 359;70 322;;3 441 197;90 522;3 531 719
2014;31 GARONNE(HTE);422;1 551;909;;485;156;0;29 237;13 328;;406;16 458;16 922;286;4 650;566;;81 853;2 199;84 052
2014;32 GERS;1 563;18 420;1 723;1 547;11 905;3 245;18 936;53 433;14 430;;862 794;78 516;90 346;256 848;20 113;14 711;128 182;1 538 310;20 255;1 558 565
2014;33 GIRONDE;7 237;114 724;112 588;;112;2 024;547 654;4 449 171;297 874;69 131;1 748;4 533;3 544;11 818;98 490;34 517;;5 518 480;123 873;5 642 353
2014;34 HERAULT;9 285;81 033;15 692;;59 135;6 205;123 542;359 648;109 141;;845 346;2 155 338;597 810;67 957;296 824;70 403;;4 626 009;101 609;4 727 618
2014;36 INDRE;584;564;302;;87;176;8 255;4 129;2 570;147;2 976;1 882;450;1 641;3 485;746;;26 280;321;26 601
2014;37 INDRE-ET-L;1 417;9 862;9 185;;100;577;158 870;217 091;44 140;0;1 197;2 835;958;10 364;7 459;11 216;;454 130;9 663;463 793
2014;38 ISERE;1 311;495;151;;72;273;7 645;534;141;17;921;1 309;165;2 070;4 479;284;;17 566;93;17 658
2014;39 JURA;1 522;2 210;2 040;;13;156;50 537;15 700;3 644;;213;123;0;2 421;1 676;303;;74 617;984;75 601
2014;40 LANDES;508;1 633;329;377;746;181;2 935;7 258;6 269;;38 227;6 207;6 642;9 143;1 130;813;28 422;107 047;2 189;109 235
2014;41 LOIR-ET-CHER;674;6 489;4 937;;819;733;154 451;50 709;44 868;;29 150;13 316;5 353;10 355;8 166;11 299;;327 667;5 930;333 597
2014;42 LOIRE;530;1 192;665;;309;218;5 578;16 755;1 429;;2 962;2 985;1 777;1 866;3 539;1 185;;38 077;493;38 569
2014;43 LOIRE(HAUTE);170;35;0;;0;35;0;0;0;;0;0;0;44;421;87;;552;0;552
2014;44 LOIRE ATLAN;1 316;11 788;8 630;;1 501;1 657;409 846;1 797;1 800;;54 628;20 697;29 457;62 591;14 088;33 828;;628 731;11 738;640 470
2014;45 LOIRET;99;187;152;;17;18;2 326;2 130;782;;98;384;14;96;236;236;;6 300;99;6 399
2014;46 LOT;1 267;4 993;3 509;;798;686;0;189 858;982;;3 434;40 851;21 188;370;40 860;6 797;;304 340;6 861;311 201
2014;47 LOT-ET-GAR;1 575;6 040;4 453;38;911;638;36 835;135 003;62 559;470;45 414;18 354;12 562;12 098;19 414;3 609;3 535;349 851;8 955;358 806
2014;48 LOZERE;14;13;0;;11;2;0;0;0;;86;172;32;0;39;0;;329;4;333
2014;49 MAINE-ET-L;1 721;19 378;17 335;;980;1 063;276 510;174 565;463 123;2 137;40 121;12 326;9 104;22 658;13 661;16 636;;1 030 840;18 519;1 049 359
2014;51 MARNE;12 442;23 958;23 956;;0;3;1 732 266;0;0;;0;0;0;75;31;22;;1 732 394;499 611;2 232 004
2014;52 MARNE(HAUTE);217;108;45;;28;35;3 539;0;0;;558;742;127;699;488;128;;6 280;574;6 853
2014;53 MAYENNE;3;2;0;;0;2;0;0;0;;0;0;0;47;9;20;;75;1;76
2014;54 MEURTHE-&-M;139;196;145;;0;51;731;1 027;2 217;;0;0;0;514;342;525;;5 357;41;5 399
2014;55 MEUSE;23;42;0;;33;9;0;0;0;;839;554;572;366;50;60;;2 441;0;2 441
2014;57 MOSELLE;92;189;93;;0;96;1 386;689;261;;0;0;0;1 410;296;295;;4 337;78;4 415
2014;58 NIEVRE;390;1 543;1 400;;102;41;82 339;2 468;763;;2 273;1 135;263;494;816;247;;90 800;288;91 087
2014;59 NORD;4;1;0;;0;1;0;0;0;;0;0;0;23;14;0;;37;0;37
2014;60 OISE;1;1;0;;0;1;0;0;0;;0;0;0;2;0;0;;2;0;2
2014;63 PUY-DE-DOME;1 014;797;421;;64;312;1 247;6 698;2 353;;436;1 333;626;331;3 912;819;;17 753;195;17 948
2014;64 PYRENEES-AT;815;2 588;2 278;;63;247;50 269;28 687;7 028;;186;1 903;370;749;2 139;338;;91 669;758;92 427
2014;65 PYRENEES(HTE);500;306;176;;15;116;949;6 422;316;;148;358;81;172;1 470;316;;10 233;81;10 313
2014;66 PYRENEES-OR;2 828;23 640;15 609;;6 646;1 385;87 265;197 592;151 272;1;94 864;136 803;91 088;24 024;15 447;8 863;;807 219;19 351;826 570
2014;67 RHIN(BAS);2 281;6 662;6 593;;0;69;416 512;3 998;21 510;;0;0;0;2 227;92;37;;444 376;11 575;455 951
2014;68 RHIN (HAUT);2 512;8 978;8 952;;0;25;532 806;6 316;31 745;;0;0;0;1 093;40;28;;572 027;11 086;583 113
2014;69 RHONE;2 743;16 829;16 438;;94;297;74 002;707 757;15 219;860;1 301;1 839;311;2 077;5 792;5 124;;814 283;35 213;849 496
2014;70 SAONE(HAUTE);343;119;0;;65;54;0;0;0;;1 132;1 007;240;589;533;232;;3 732;1;3 733
2014;71 SAONE-ET-L;2 124;12 923;12 813;;15;95;518 242;216 179;4 914;14 199;298;236;49;2 523;1 230;481;;758 352;16 491;774 843
2014;72 SARTHE;202;182;128;;4;50;2 920;881;392;;20;151;13;520;570;256;;5 721;123;5 844
2014;73 SAVOIE;949;1 898;1 678;;93;127;67 947;22 131;5 630;189;3 509;584;293;2 656;1 928;722;;105 589;1 274;106 863
2014;74 SAVOIE(HTE);176;249;146;;12;91;5 781;592;166;;332;75;25;3 606;1 971;109;;12 657;48;12 705
2014;77 SEINE ET MARNE;10;22;22;;0;0;1 691;0;0;;0;0;0;0;0;0;;1 691;138;1 829
2014;79 SEVRES(DEUX);1 120;918;661;;31;226;12 934;2 462;25 953;187;1 789;137;153;720;5 347;1 024;;50 706;549;51 255
2014;81 TARN;775;6 576;3 059;;2 507;1 010;39 595;79 338;21 534;;43 563;108 799;31 365;29 502;24 383;12 484;;390 561;6 539;397 101
2014;82 TARN-ET-G;683;1 661;742;;435;485;0;24 666;12 825;;1 675;16 153;12 310;316;11 489;4 104;;83 538;1 542;85 080
2014;83 VAR;3 571;27 828;21 657;;5 714;457;36 622;81 760;983 679;2 181;23 833;59 688;299 561;2 856;5 975;18 385;;1 514 539;54 085;1 568 625
2014;84 VAUCLUSE;4 148;46 584;35 805;;8 987;1 792;97 739;1 290 631;180 179;;81 556;353 620;204 592;21 169;68 967;31 239;;2 329 693;74 304;2 403 997
2014;85 VENDEE;3 599;1 336;502;;204;631;6 885;7 591;9 295;;3 119;2 864;4 181;3 583;7 641;10 300;;55 459;1 285;56 744
2014;86 VIENNE;1 899;1 438;534;;411;493;15 460;6 190;8 082;;19 019;3 767;2 090;1 846;7 731;3 748;;67 932;572;68 505
2014;87 VIENNE(HTE);11;7;0;;6;1;0;0;0;;27;58;231;2;16;0;;333;30;363
2014;88 VOSGES;201;31;0;;0;31;0;0;0;;0;0;0;12;425;2;;439;0;439
2014;89 YONNE;1 102;7 430;7 353;;14;63;387 291;31 073;3 399;16 352;303;116;30;576;1 443;313;;440 895;7 052;447 947
2014;90 T. de BELFORT;3;1;0;;1;0;0;0;0;;8;0;0;0;0;0;;8;0;8
