annee;n_dep;n_decl;surface;s_aop;s_gnac;s_igp;s_vsig;q_aop_b;q_aop_rg;q_aop_rs;q_vsi-vci;q_igp_b;q_igp_rg;q_igp_rs;q_vsig_b;q_vsig_rg;q_vsig_rs;q_gnac;qq_c;qq_nc;qq_total
2014;01 AIN;657;771;537;;19;216;12 904;2 768;12 725;;519;93;122;3 427;2 181;7 019;;41 758;273;42 031
2014;02 AISNE;834;2 499;2 492;;0;7;189 983;0;0;;0;0;0;388;9;6;;190 385;24 394;214 779
2014;03 ALLIER;304;643;537;;5;100;6 549;13 073;3 790;;1;81;0;641;886;1 885;;26 907;513;27 420
2014;04 ALPES-HTE-PR;90;688;281;;319;87;1 444;5 482;7 438;;3 676;5 974;14 390;469;1 378;5 508;;45 759;1 146;46 905
2014;05 ALPES-HAUTES;142;130;0;;100;31;0;0;0;;1 029;1 914;1 330;48;344;2;;4 667;293;4 960
2014;06 ALPES-Mmes;101;85;52;;22;11;605;605;260;;206;526;220;24;226;92;;2 763;23;2 786
2014;07 ARDECHE;2 049;10 564;2 769;;7 041;755;8 192;96 410;6 973;;89 392;337 561;34 550;13 946;19 661;1 992;;608 679;13 841;622 520
2014;08 ARDENNES;7;1;0;;0;1;0;0;0;;0;0;0;20;4;1;;24;0;24
2014;09 ARIEGE;53;103;0;;53;50;0;0;0;;192;1 398;386;3;276;2;;2 255;50;2 305
2014;10 AUBE;2 770;7 187;7 162;;0;25;553 782;0;0;;0;0;0;358;471;192;;554 803;93 321;648 124
2014;11 AUDE;5 709;64 774;18 921;;41 493;4 360;110 075;573 732;78 599;;471 598;1 765 326;293 360;42 409;203 906;29 459;;3 568 465;53 405;3 621 870
2014;12 AVEYRON;832;616;277;;45;293;444;9 723;1 951;;171;922;220;152;3 799;172;;17 555;336;17 890
2014;13 BOUCHES-DU-R;1 235;10 043;6 576;;3 135;331;18 340;36 047;302 749;1 477;12 851;71 361;178 123;7 865;3 699;16 842;;649 353;26 702;676 055
2014;14 CALVADOS;1;6;0;;5;1;0;0;0;;126;82;1;1;0;0;;210;0;210
2014;15 CANTAL;22;10;2;;6;2;15;49;20;;41;96;9;5;42;0;;277;3;280
2014;16 CHARENTE;3 490;39 208;130;37 741;536;801;3 405;0;4 303;;6 605;19 606;0;8 925;25 670;2;4 235 471;4 303 987;3 980;4 307 967
2014;17 CHARENTE-MAR;4 503;38 742;908;35 629;1 133;1 072;30 964;0;33 100;;32 704;44 213;0;34 138;37 625;1;4 077 804;4 290 549;7 793;4 298 342
2014;18 CHER;710;4 139;3 991;;50;98;193 485;32 819;17 383;1 445;1 782;591;469;570;1 171;395;;250 109;1 113;251 222
2014;19 CORREZE;622;179;0;;68;111;0;0;0;;613;1 343;620;28;2 018;3;;4 625;0;4 625
2014;2A CORSE SUD;46;842;707;;59;76;3 795;11 915;9 754;;502;1 702;2 188;310;2 407;960;;33 532;957;34 489
