annee;departement;amm;quantite_produit;conditionnement;eaj
2012;AIN;1030003;19.2;L;Oui
2012;AIN;2000003;2333.0;L;Non
2012;AIN;2000017;324.1;L;Oui
2012;AIN;2000018;60.0;K;Non
2012;AIN;2000042;365.0;L;Non
2012;AIN;2000044;364.0;L;Non
2012;AIN;2000045;98.4;L;Non
2012;AIN;2000051;145.0;L;Non
2012;AIN;2000071;19147.5;K;Oui
2012;AIN;2000080;6548.0;L;Non
2012;AIN;2000105;4.2;K;Oui
2012;AIN;2000121;5260.0;K;Non
2012;AIN;2000122;2.2;L;Non
2012;AIN;2000125;1917.8;K;Oui
2012;AIN;2000128;276.6;K;Oui
2012;AIN;2000195;40.0;K;Non
2012;AIN;2000201;174.3;L;Non
2012;AIN;2000202;25.0;L;Non
2012;AIN;2000205;5.1;K;Non
2012;AIN;2000207;490.0;L;Non
2012;AIN;2000208;14.0;L;Non
2012;AIN;2000216;472.0;L;Non
2012;AIN;2000222;103.6;L;Oui
2012;AIN;2000228;180.9;K;Oui
2012;AIN;2000294;680.0;K;Non
2012;AIN;2000299;203.0;L;Non
2012;AIN;2000305;1515.0;L;Non
2012;AIN;2000306;1.0;L;Non
2012;AIN;2000327;264.0;L;Non
2012;AIN;2000332;8.0;L;Non
2012;AIN;2000335;30.0;L;Non
2012;AIN;2000336;288.0;K;Non
2012;AIN;2000341;1430.0;K;Non
2012;AIN;2000359;1.0;K;Non
2012;AIN;2000362;525.1;K;Oui
2012;AIN;2000364;111.2;K;Oui
2012;AIN;2000365;80.0;L;Oui
2012;AIN;2000366;206.8;L;Oui
2012;AIN;2000378;515.0;K;Non
2012;AIN;2000388;5.0;L;Non
2012;AIN;2000390;4501.0;K;Oui
2012;AIN;2000402;20.0;L;Non
2012;AIN;2000405;40.0;L;Non
2012;AIN;2000415;2550.0;L;Non
2012;AIN;2000416;155.0;L;Oui
2012;AIN;2000449;10.0;L;Non
2012;AIN;2000466;2.1;L;Oui
2012;AIN;2000499;201.0;L;Non
2012;AIN;2000500;1837.6;L;Oui
2012;AIN;2000502;387.4;L;Non
2012;AIN;2000509;160.0;L;Non
2012;AIN;2000510;5773.0;K;Oui
2012;AIN;2000517;580.8;L;Oui
2012;AIN;2000536;123.0;K;Non
2012;AIN;2000538;2.2;L;Oui
2012;AIN;2000546;30.0;L;Non
2012;AIN;2010009;1575.0;K;Oui
2012;AIN;2010019;624.0;L;Non
2012;AIN;2010023;396.0;L;Non
2012;AIN;2010030;1680.0;L;Non
2012;AIN;2010035;1366.8000000000002;L;Oui
2012;AIN;2010047;148.0;L;Non
2012;AIN;2010118;1606.0;K;Oui
2012;AIN;2010121;159.7;K;Oui
2012;AIN;2010130;1810.0;K;Non
2012;AIN;2010132;49.8;K;Non
